"","ID","Local_ID","Language_ID","Parameter_ID","Value","Form","Segments","Comment","Source","Cognacy","Loan","Graphemes","Profile"
"1","Bunuba-1_one-1",NA,"Bunuba","1_one","yuwarna; yimanjarri (mother-in-law)","yuwarna",NA,NA,"Bowern2012",NA,NA,NA,NA
"2","Bunuba-1_one-1",NA,"Bunuba","1_one","yuwarna; yimanjarri (mother-in-law)","yimanjarri (mother-in-law)",NA,NA,"Bowern2012",NA,NA,NA,NA
"3","Bunuba-2_two-1",NA,"Bunuba","2_two","thurranda; yimiyandi (mother-in-law)","thurranda",NA,NA,"Bowern2012",NA,NA,NA,NA
"4","Bunuba-2_two-1",NA,"Bunuba","2_two","thurranda; yimiyandi (mother-in-law)","yimiyandi (mother-in-law)",NA,NA,"Bowern2012",NA,NA,NA,NA
"5","Bunuba-3_three-1",NA,"Bunuba","3_three","ngarlgurru","ngarlgurru",NA,NA,"Bowern2012",NA,NA,NA,NA
"6","Gooni-1_one-1",NA,"Gooni","1_one","yoowarni","yoowarni",NA,NA,"Bowern2012",NA,NA,NA,NA
"7","Gooni-2_two-1",NA,"Gooni","2_two","garndiwirri, garndiwiddi","garndiwirri",NA,NA,"Bowern2012",NA,NA,NA,NA
"8","Gooni-2_two-1",NA,"Gooni","2_two","garndiwirri, garndiwiddi","garndiwiddi",NA,NA,"Bowern2012",NA,NA,NA,NA
"9","Gooni-3_three-1",NA,"Gooni","3_three","ngarloodoo, nga-rloo-doo","ngarloodoo",NA,NA,"Bowern2012",NA,NA,NA,NA
"10","Gooni-3_three-1",NA,"Gooni","3_three","ngarloodoo, nga-rloo-doo","nga-rloo-doo",NA,NA,"Bowern2012",NA,NA,NA,NA
"11","Gooni-4_four-1",NA,"Gooni","4_four","garndiwirri garndiwirri","garndiwirri garndiwirri",NA,NA,"Bowern2012",NA,NA,NA,NA
"12","Gooni-5_five-1",NA,"Gooni","5_five","garndiwirri garndiwirri yoowarni; less often ngarloodoo garndiwirri; marla, ngirndaji marla","garndiwirri garndiwirri yoowarni",NA,NA,"Bowern2012",NA,NA,NA,NA
"13","Gooni-5_five-1",NA,"Gooni","5_five","garndiwirri garndiwirri yoowarni; less often ngarloodoo garndiwirri; marla, ngirndaji marla","less often ngarloodoo garndiwirri",NA,NA,"Bowern2012",NA,NA,NA,NA
"14","Gooni-5_five-1",NA,"Gooni","5_five","garndiwirri garndiwirri yoowarni; less often ngarloodoo garndiwirri; marla, ngirndaji marla","marla",NA,NA,"Bowern2012",NA,NA,NA,NA
"15","Gooni-5_five-1",NA,"Gooni","5_five","garndiwirri garndiwirri yoowarni; less often ngarloodoo garndiwirri; marla, ngirndaji marla","ngirndaji marla",NA,NA,"Bowern2012",NA,NA,NA,NA
"16","Gooni-10_ten-1",NA,"Gooni","10_ten","garndiwirri marla","garndiwirri marla",NA,NA,"Bowern2012",NA,NA,NA,NA
"17","Garrwa-1_one-1",NA,"Garrwa","1_one","yiŋamali; yalkunyi (Western), yulganyi, yulgunyi; yingkanyi (Eastern)","yiŋamali",NA,NA,"Bowern2012",NA,NA,NA,NA
