ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
Bunuba-1_one-1,,Bunuba,1_one,yuwarna; yimanjarri (mother-in-law),yuwarna,,,Bowern2012,,,,
Bunuba-2_two-1,,Bunuba,2_two,thurranda; yimiyandi (mother-in-law),thurranda,,,Bowern2012,,,,
Bunuba-3_three-1,,Bunuba,3_three,ngarlgurru,ngarlgurru,,,Bowern2012,,,,
Gooni-1_one-1,,Gooni,1_one,yoowarni,yoowarni,,,Bowern2012,,,,
Gooni-2_two-1,,Gooni,2_two,"garndiwirri, garndiwiddi",garndiwirri,,,Bowern2012,,,,
Gooni-3_three-1,,Gooni,3_three,"ngarloodoo, nga-rloo-doo",ngarloodoo,,,Bowern2012,,,,
Gooni-4_four-1,,Gooni,4_four,garndiwirri garndiwirri,garndiwirri garndiwirri,,,Bowern2012,,,,
Gooni-5_five-1,,Gooni,5_five,"garndiwirri garndiwirri yoowarni; less often ngarloodoo garndiwirri; marla, ngirndaji marla",garndiwirri garndiwirri yoowarni,,,Bowern2012,,,,
Gooni-10_ten-1,,Gooni,10_ten,garndiwirri marla,garndiwirri marla,,,Bowern2012,,,,
Garrwa-1_one-1,,Garrwa,1_one,"yiŋamali; yalkunyi (Western), yulganyi, yulgunyi; yingkanyi (Eastern)",yiŋamali,,,Bowern2012,,,,
Garrwa-2_two-1,,Garrwa,2_two,"kujarra, gudyara",kujarra,,,Bowern2012,,,,
Garrwa-3_three-1,,Garrwa,3_three,"kujarra yalkunyi, kujarra  yiŋamali, gudyara yalgunyi",kujarra yalkunyi,,,Bowern2012,,,,
Garrwa-4_four-1,,Garrwa,4_four,"kujarra kujarra, kujarra baki kujarra",kujarra kujarra,,,Bowern2012,,,,
Garrwa-5_five-1,,Garrwa,5_five,kujarra baki kujarra yiŋamali,kujarra baki kujarra yiŋamali,,,Bowern2012,,,,
Garrwa-6_six-1,,Garrwa,6_six,kujarra baki kujarra baki kujarra,kujarra baki kujarra baki kujarra,,,Bowern2012,,,,
Garrwa-10_ten-1,,Garrwa,10_ten,marni kujarra,marni kujarra,,,Bowern2012,,,,
Garrwa-20_twenty-1,,Garrwa,20_twenty,marni kujarra baki nukami kujarra,marni kujarra baki nukami kujarra,,,Bowern2012,,,,
Wanyi-1_one-1,,Wanyi,1_one,yingkanyi,yingkanyi,,,Bowern2012,,,,
Wanyi-2_two-1,,Wanyi,2_two,kujarra,kujarra,,,Bowern2012,,,,
Wanyi-3_three-1,,Wanyi,3_three,kujarra-yingkanyi,kujarra-yingkanyi,,,Bowern2012,,,,
Wanyi-4_four-1,,Wanyi,4_four,kujarra-kujarra,kujarra-kujarra,,,Bowern2012,,,,
Kajir-1_one-1,,Kajir,1_one,"djerrawiyang, jerrawiyang, jirrayang, jirrayany",djerrawiyang,,,Bowern2012,,,,
Kajir-2_two-1,,Kajir,2_two,"ganggoob, garnmelb, garnmeleng",ganggoob,,,Bowern2012,,,,
Kajir-3_three-1,,Kajir,3_three,merrgern,merrgern,,,Bowern2012,,,,
Kija-1_one-1,,Kija,1_one,"ganmel, jirrawu-, jirrawuke-",ganmel,,,Bowern2012,,,,
Kija-2_two-1,,Kija,2_two,pangariny,pangariny,,,Bowern2012,,,,
Kija-3_three-1,,Kija,3_three,merrkernpem,merrkernpem,,,Bowern2012,,,,
Miriw-1_one-1,,Miriw,1_one,"jerrawiyang, djerrawiyang, djirau",jerrawiyang,,,Bowern2012,,,,
Miriw-2_two-1,,Miriw,2_two,"ganggub, ganggubdha, ganggubeleng",ganggub,,,Bowern2012,,,,
Miriw-3_three-1,,Miriw,3_three,merrgen,merrgen,,,Bowern2012,,,,
Wamba-1_one-1,,Wamba,1_one,"garndawuga, jandaji",garndawuga,,,Bowern2012,,,,
Wamba-2_two-1,,Wamba,2_two,"gujarra, gujarra-",gujarra,,,Bowern2012,,,,
Wamba-3_three-1,,Wamba,3_three,murrgun-,murrgun-,,,Bowern2012,,,,
Jamin-1_one-1,,Jamin,1_one,-nguluk,-nguluk,,,Bowern2012,,,,
Ngali-1_one-1,,Ngali,1_one,-nguluk,-nguluk,,,Bowern2012,,,,
Nung-1_one-1,,Nung,1_one,-nguluk,-nguluk,,,Bowern2012,,,,
Jing-1_one-1,,Jing,1_one,"-aŋgubanhi, -ngku-parni",-aŋgubanhi,,,Bowern2012,,,,
