ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
Jing-2_two-1,,Jing,2_two,gugjara,gugjara,,,Bowern2012,,,,
Jing-3_three-1,,Jing,3_three,"murrgulu, murrgunbala",murrgulu,,,Bowern2012,,,,
Jing-5_five-1,,Jing,5_five,marndamarnda,marndamarnda,,,Bowern2012,,,,
Ngum-1_one-1,,Ngum,1_one,warinjarri,warinjarri,,,Bowern2012,,,,
Ngum-2_two-1,,Ngum,2_two,kujarra,kujarra,,,Bowern2012,,,,
Ngum-3_three-1,,Ngum,3_three,kurdidi,kurdidi,,,Bowern2012,,,,
Nyig-1_one-1,,Nyig,1_one,wandjari,wandjari,,,Bowern2012,,,,
Nyig-2_two-1,,Nyig,2_two,"kujarra, gudjara",kujarra,,,Bowern2012,,,,
Nyig-3_three-1,,Nyig,3_three,kujarra layan; gudjara-wandjari,kujarra layan,,,Bowern2012,,,,
Warrw-1_one-1,,Warrw,1_one,"warany, wanyjarri",warany,,,Bowern2012,,,,
Warrw-2_two-1,,Warrw,2_two,kujarra,kujarra,,,Bowern2012,,,,
Warrw-3_three-1,,Warrw,3_three,kujarra layina; layana,kujarra layina,,,Bowern2012,,,,
Yawu-1_one-1,,Yawu,1_one,"waran, warandjari",waran,,,Bowern2012,,,,
Yawu-2_two-1,,Yawu,2_two,gudjara,gudjara,,,Bowern2012,,,,
Yawu-3_three-1,,Yawu,3_three,gudidi,gudidi,,,Bowern2012,,,,
Bardi-1_one-1,,Bardi,1_one,arinyji,arinyji,,,Bowern2012,,,,
Bardi-2_two-1,,Bardi,2_two,gooyarra,gooyarra,,,Bowern2012,,,,
Bardi-3_three-1,,Bardi,3_three,irrjar,irrjar,,,Bowern2012,,,,
Bardi-4_four-1,,Bardi,4_four,gooyarra-gooyarra,gooyarra-gooyarra,,,Bowern2012,,,,
JabJab-1_one-1,,JabJab,1_one,wandjer,wandjer,,,Bowern2012,,,,
JabJab-2_two-1,,JabJab,2_two,gudjar,gudjar,,,Bowern2012,,,,
JabJab-3_three-1,,JabJab,3_three,irdjowar,irdjowar,,,Bowern2012,,,,
Jawi-1_one-1,,Jawi,1_one,arinyji,arinyji,,,Bowern2012,,,,
Jawi-2_two-1,,Jawi,2_two,kuyarra,kuyarra,,,Bowern2012,,,,
Jawi-3_three-1,,Jawi,3_three,"irgudara, irrjarr",irgudara,,,Bowern2012,,,,
Nima-1_one-1,,Nima,1_one,warid,warid,,,Bowern2012,,,,
Nima-2_two-1,,Nima,2_two,kujarr,kujarr,,,Bowern2012,,,,
Nima-3_three-1,,Nima,3_three,irdjowar,irdjowar,,,Bowern2012,,,,
Nyul-1_one-1,,Nyul,1_one,warindjer,warindjer,,,Bowern2012,,,,
Nyul-2_two-1,,Nyul,2_two,gudjar,gudjar,,,Bowern2012,,,,
Nyul-3_three-1,,Nyul,3_three,irdjowar,irdjowar,,,Bowern2012,,,,
Warum-1_one-1,,Warum,1_one,yarnti,yarnti,,,Bowern2012,,,,
Warum-2_two-1,,Warum,2_two,"kuty:arra, kutytyarra, gudjara",kuty:arra,,,Bowern2012,,,,
Warum-3_three-1,,Warum,3_three,"kuty:arra yarnti; yurrkati, yurrkarti, wurrkartu",kuty:arra yarnti,,,Bowern2012,,,,
Karad-1_one-1,,Karad,1_one,"waraca, warraca, warany",waraca,,,Bowern2012,,,,
Karad-2_two-1,,Karad,2_two,kucarra,kucarra,,,Bowern2012,,,,
Karad-3_three-1,,Karad,3_three,"kucarra warany, kucarra pa waraca",kucarra warany,,,Bowern2012,,,,
Karad-4_four-1,,Karad,4_four,kucarra pa kucarra,kucarra pa kucarra,,,Bowern2012,,,,
Karad-5_five-1,,Karad,5_five,kucarra kutiti; papirr waraca karti,kucarra kutiti,,,Bowern2012,,,,
Karad-10_ten-1,,Karad,10_ten,papirr kucarra karti,papirr kucarra karti,,,Bowern2012,,,,
Mang-1_one-1,,Mang,1_one,"wanycu, wancu",wanycu,,,Bowern2012,,,,
Mang-2_two-1,,Mang,2_two,"kucarra, kuyarra",kucarra,,,Bowern2012,,,,
Mang-3_three-1,,Mang,3_three,"murrkun, murrkurn",murrkun,,,Bowern2012,,,,
Mang-5_five-1,,Mang,5_five,wanycukarti kurrapa,wanycukarti kurrapa,,,Bowern2012,,,,
Mang-10_ten-1,,Mang,10_ten,kucarrakarti kurrapa,kucarrakarti kurrapa,,,Bowern2012,,,,
NortMang-1_one-1,,NortMang,1_one,nguyarra,nguyarra,,,Bowern2012,,,,
NortMang-2_two-1,,NortMang,2_two,murrkurn,murrkurn,,,Bowern2012,,,,
NortMang-3_three-1,,NortMang,3_three,nguyarranguyarra,nguyarranguyarra,,,Bowern2012,,,,
NortMang-4_four-1,,NortMang,4_four,nguyarra2wanycu,nguyarra2wanycu,,,Bowern2012,,,,
Nyan-1_one-1,,Nyan,1_one,"waraca, waraja",waraca,,,Bowern2012,,,,
Nyan-2_two-1,,Nyan,2_two,"kucarra, kujarra",kucarra,,,Bowern2012,,,,
Nyan-3_three-1,,Nyan,3_three,kujarrapa waraja,kujarrapa waraja,,,Bowern2012,,,,
Nyan-6_six-1,,Nyan,6_six,cikici,cikici,,,Bowern2012,,,,
Bula-1_one-1,,Bula,1_one,yakulu,yakulu,,,Bowern2012,,,,
Bula-2_two-1,,Bula,2_two,"gutyiya, guciya",gutyiya,,,Bowern2012,,,,
Bula-3_three-1,,Bula,3_three,gudyiŋakulu,gudyiŋakulu,,,Bowern2012,,,,
Waga-1_one-1,,Waga,1_one,yukunŋu,yukunŋu,,,Bowern2012,,,,
Waga-2_two-1,,Waga,2_two,"kiji(:)wi, kici:wiy",kijiwi,,,Bowern2012,,,,
Waga-3_three-1,,Waga,3_three,"yawul, kic'wal",yawul,,,Bowern2012,,,,
Waga-4_four-1,,Waga,4_four,"kic'iwi kic'iwi, minyciŋawul",kic'iwi kic'iwi,,,Bowern2012,,,,
Warl-1_one-1,,Warl,1_one,"yarɣulu, yarrwulu",yarɣulu,,,Bowern2012,,,,
Warl-2_two-1,,Warl,2_two,"kutya, guca",kutya,,,Bowern2012,,,,
Warl-3_three-1,,Warl,3_three,kutyayarrɣulu,kutyayarrɣulu,,,Bowern2012,,,,
Yany-1_one-1,,Yany,1_one,"arrkula, yalku (avoidance)",arrkula,,,Bowern2012,,,,
Yany-2_two-1,,Yany,2_two,"kanymarda, anyirarra (avoidance)",kanymarda,,,Bowern2012,,,,
Yany-3_three-1,,Yany,3_three,kanymardaarr,kanymardaarr,,,Bowern2012,,,,
Yany-4_four-1,,Yany,4_four,kanymardakanymarda,kanymardakanymarda,,,Bowern2012,,,,
Bili-1_one-1,,Bili,1_one,jindagu,jindagu,,,Bowern2012,,,,
Bili-2_two-1,,Bili,2_two,gujarra,gujarra,,,Bowern2012,,,,
Bili-3_three-1,,Bili,3_three,murrgun,murrgun,,,Bowern2012,,,,
Guri-1_one-1,,Guri,1_one,"cintaku, tyintaku, jintaku",cintaku,,,Bowern2012,,,,
Guri-2_two-1,,Guri,2_two,"kucarra, kutyarra, kujarra; tumpalak",kucarra,,,Bowern2012,,,,
Guri-3_three-1,,Guri,3_three,murrkun,murrkun,,,Bowern2012,,,,
Guri-5_five-1,,Guri,5_five,kutyarrakutyarra yaŋi,kutyarrakutyarra yaŋi,,,Bowern2012,,,,
GuriMall-1_one-1,,GuriMall,1_one,meta,meta,,,Bowern2012,,,,
GuriMall-2_two-1,,GuriMall,2_two,raangool,raangool,,,Bowern2012,,,,
GuriMall-3_three-1,,GuriMall,3_three,raangool met,raangool met,,,Bowern2012,,,,
GuriMall-4_four-1,,GuriMall,4_four,raangool raangool,raangool raangool,,,Bowern2012,,,,
Jaru-1_one-1,,Jaru,1_one,"yaŋi, gaŋi, yani",yaŋi,,,Bowern2012,,,,
Jaru-2_two-1,,Jaru,2_two,"kutyarra, gudyara",kutyarra,,,Bowern2012,,,,
Jaru-3_three-1,,Jaru,3_three,"murrkun, murgun, mogon",murrkun,,,Bowern2012,,,,
Jaru-4_four-1,,Jaru,4_four,muntapala,muntapala,,,Bowern2012,,,,
Jiwal-1_one-1,,Jiwal,1_one,kayan,kayan,,,Bowern2012,,,,
Jiwal-2_two-1,,Jiwal,2_two,"kurriny, (kujarra - see note)",kurriny,,,Bowern2012,,,,
Malng-1_one-1,,Malng,1_one,cintapani,cintapani,,,Bowern2012,,,,
Malng-2_two-1,,Malng,2_two,kucarra,kucarra,,,Bowern2012,,,,
Mudb-1_one-1,,Mudb,1_one,"cintaku, jindaku, jintaku",cintaku,,,Bowern2012,,,,
Mudb-2_two-1,,Mudb,2_two,"kucarra, kujarra",kucarra,,,Bowern2012,,,,
Mudb-3_three-1,,Mudb,3_three,"yukartu, yukardu; murrkuna",yukartu,,,Bowern2012,,,,
Mudb-4_four-1,,Mudb,4_four,kujajarra,kujajarra,,,Bowern2012,,,,
Ngari-1_one-1,,Ngari,1_one,cintaku,cintaku,,,Bowern2012,,,,
Ngari-2_two-1,,Ngari,2_two,kucarra,kucarra,,,Bowern2012,,,,
Ngari-3_three-1,,Ngari,3_three,murrkun,murrkun,,,Bowern2012,,,,
Ngari-7_seven-1,,Ngari,7_seven,wirlki,wirlki,,,Bowern2012,,,,
Walmj-1_one-1,,Walmj,1_one,"gaian, gān, kayan, kacan (Bililuna); layi; pilparli",gaian,,,Bowern2012,,,,
Walmj-2_two-1,,Walmj,2_two,"kurriny, gurin",kurriny,,,Bowern2012,,,,
Walmj-3_three-1,,Walmj,3_three,"kutyuntu; murgun; muŋkartu, muŋgadu",kutyuntu,,,Bowern2012,,,,
Walmj-4_four-1,,Walmj,4_four,kurriny kurriny,kurriny kurriny,,,Bowern2012,,,,
Warlm-1_one-1,,Warlm,1_one,"jinta, tyinta",jinta,,,Bowern2012,,,,
Warlm-2_two-1,,Warlm,2_two,"jirrama, tyirrama, tyirrima",jirrama,,,Bowern2012,,,,
Warlm-3_three-1,,Warlm,3_three,tyirrima-tyinta,tyirrima-tyinta,,,Bowern2012,,,,
Warlp-1_one-1,,Warlp,1_one,"jinta, tyinta",jinta,,,Bowern2012,,,,
Warlp-2_two-1,,Warlp,2_two,"jirrama, tyirrama",jirrama,,,Bowern2012,,,,
Warlp-3_three-1,,Warlp,3_three,"jirrama-kari-jinta, tyirrama-tyinta; marnkurrpa; marnirrpa; wirrkardu, wirrkardu-kari; kalyarrpa",jirrama-kari-jinta,,,Bowern2012,,,,
Warlp-4_four-1,,Warlp,4_four,"tyirrama-tyirrama, tyirrama-kari-tyirrama-kari; tyirrama-kari-tyinta; murntu(-pala)",tyirrama-tyirrama,,,Bowern2012,,,,
Warlp-5_five-1,,Warlp,5_five,cirramakarizcinta,cirramakarizcinta,,,Bowern2012,,,,
Warlp-9_nine-1,,Warlp,9_nine,narntirnki-pala,narntirnki-pala,,,Bowern2012,,,,
Kutk-1_one-1,,Kutk,1_one,"kutju, gudyu, gudu",kutju,,,Bowern2012,,,,
Kutk-2_two-1,,Kutk,2_two,"kutjarra, kutyarra, gudyara",kutjarra,,,Bowern2012,,,,
Kutk-3_three-1,,Kutk,3_three,"maŋurba, marnkurr(pa), manguru, mangura",maŋurba,,,Bowern2012,,,,
Kutk-4_four-1,,Kutk,4_four,"kutjarra-kutjarra; galdu; murntu, murtu",kutjarra-kutjarra,,,Bowern2012,,,,
Kutk-5_five-1,,Kutk,5_five,raka; marumpu,raka,,,Bowern2012,,,,
Kutk-6_six-1,,Kutk,6_six,kalyu,kalyu,,,Bowern2012,,,,
Kutk-7_seven-1,,Kutk,7_seven,wirlki,wirlki,,,Bowern2012,,,,
Kutk-8_eight-1,,Kutk,8_eight,ŋarlukutu,ŋarlukutu,,,Bowern2012,,,,
Kutk-9_nine-1,,Kutk,9_nine,karrpu,karrpu,,,Bowern2012,,,,
Kutk-10_ten-1,,Kutk,10_ten,tawu,tawu,,,Bowern2012,,,,
Martu-1_one-1,,Martu,1_one,kutyu,kutyu,,,Bowern2012,,,,
Martu-2_two-1,,Martu,2_two,kutyarra,kutyarra,,,Bowern2012,,,,
Martu-3_three-1,,Martu,3_three,marnkurrpa,marnkurrpa,,,Bowern2012,,,,
Martu-6_six-1,,Martu,6_six,tyikatyi,tyikatyi,,,Bowern2012,,,,
Mulya-1_one-1,,Mulya,1_one,koodia,koodia,,,Bowern2012,,,,
Mulya-2_two-1,,Mulya,2_two,kutharra,kutharra,,,Bowern2012,,,,
Mulya-3_three-1,,Mulya,3_three,mangoor,mangoor,,,Bowern2012,,,,
Mulya-4_four-1,,Mulya,4_four,chakoo,chakoo,,,Bowern2012,,,,
Ngaa-1_one-1,,Ngaa,1_one,kumpinyu; kutyu,kumpinyu,,,Bowern2012,,,,
Ngaa-2_two-1,,Ngaa,2_two,kalyarrar; kutyarra; nyartuwarra,kalyarrar,,,Bowern2012,,,,
Ngaa-3_three-1,,Ngaa,3_three,"marnkurr(pa); taŋkalku; tyuku.tyuku, tyukurni; wiltya",marnkurr,,,Bowern2012,,,,
Ngaa-4_four-1,,Ngaa,4_four,kutjarra-kutjarra,kutjarra-kutjarra,,,Bowern2012,,,,
Pitj-1_one-1,,Pitj,1_one,"kutju, kutyu; kalani",kutju,,,Bowern2012,,,,
Pitj-2_two-1,,Pitj,2_two,"kutyarra, kutjara",kutyarra,,,Bowern2012,,,,
Pitj-3_three-1,,Pitj,3_three,"man̠kur(pa), makur(pa)",man̠kur,,,Bowern2012,,,,
Pitj-4_four-1,,Pitj,4_four,kutjara-kutjara,kutjara-kutjara,,,Bowern2012,,,,
Pitj-5_five-1,,Pitj,5_five,paipa; kutjara-man̠kur(pa),paipa,,,Bowern2012,,,,
Pitj-6_six-1,,Pitj,6_six,man̠kur-man̠kur(pa),man̠kur-man̠kur,,,Bowern2012,,,,
Wang-1_one-1,,Wang,1_one,kupinyu; kutyu,kupinyu,,,Bowern2012,,,,
Wang-2_two-1,,Wang,2_two,"kutyarra, lutyarra",kutyarra,,,Bowern2012,,,,
Wang-3_three-1,,Wang,3_three,marnkurrpa,marnkurrpa,,,Bowern2012,,,,
Wanm-1_one-1,,Wanm,1_one,kumpinyu; partu,kumpinyu,,,Bowern2012,,,,
Wanm-2_two-1,,Wanm,2_two,"kujarra, -kujarra; -pula",kujarra,,,Bowern2012,,,,
Wanm-3_three-1,,Wanm,3_three,"kujarra kumpinya, kujarrapartu; yupalpa, wupalypa",kujarra kumpinya,,,Bowern2012,,,,
Wanm-4_four-1,,Wanm,4_four,"kucarrakucarra, kujarra kujarra",kucarrakucarra,,,Bowern2012,,,,
Wanm-5_five-1,,Wanm,5_five,"kucarra2 partu, kujarra kujarra kumpinyu",kucarra2 partu,,,Bowern2012,,,,
Yulp-1_one-1,,Yulp,1_one,kuju; kumpinyu,kuju,,,Bowern2012,,,,
Yulp-2_two-1,,Yulp,2_two,kujarra,kujarra,,,Bowern2012,,,,
Ngar-1_one-1,,Ngar,1_one,"erri, eri, eriŋa, weriŋa",erri,,,Bowern2012,,,,
Ngar-2_two-1,,Ngar,2_two,"majerri, majeri",majerri,,,Bowern2012,,,,
Ngar-3_three-1,,Ngar,3_three,"majerrijerri, majerrina, majeriieri",majerrijerri,,,Bowern2012,,,,
Ngar-4_four-1,,Ngar,4_four,"medjeri-yá medjeri, majamajeri",medjeri-yá medjeri,,,Bowern2012,,,,
Ungg-1_one-1,,Ungg,1_one,"wintharringga, winderri, wintharri, yherre",wintharringga,,,Bowern2012,,,,
Ungg-2_two-1,,Ungg,2_two,"wintharringarndoo, wintharri-ngarndu, winhdharri-ngarndu",wintharringarndoo,,,Bowern2012,,,,
Ungg-3_three-1,,Ungg,3_three,ngarlgurru,ngarlgurru,,,Bowern2012,,,,
Worr-1_one-1,,Worr,1_one,"iyarrungu, jarrungu, -yarrungu, =yarrungu, iarun, yarrungu, -anda, -andu",iyarrungu,,,Bowern2012,,,,
Worr-2_two-1,,Worr,2_two,"iyarrungarndu, yarrungu-ᵏwarndu, +aarndu",iyarrungarndu,,,Bowern2012,,,,
Worr-3_three-1,,Worr,3_three,"iyarrungurri, yarrungu-oorri",iyarrungurri,,,Bowern2012,,,,
Worr-5_five-1,,Worr,5_five,ŋanuŋalja,ŋanuŋalja,,,Bowern2012,,,,
Yawi-1_one-1,,Yawi,1_one,munggadum; -du ~ -di,munggadum,,,Bowern2012,,,,
Yawi-2_two-1,,Yawi,2_two,-urri,-urri,,,Bowern2012,,,,
Ward-1_one-1,,Ward,1_one,lege,lege,,,Bowern2012,,,,
Ward-2_two-1,,Ward,2_two,guyamin,guyamin,,,Bowern2012,,,,
Ward-3_three-1,,Ward,3_three,murrgun,murrgun,,,Bowern2012,,,,
ArabPea-1_one-1,,ArabPea,1_one,weyoo,weyoo,,,Bowern2012,,,,
ArabPea-2_two-1,,ArabPea,2_two,parekula,parekula,,,Bowern2012,,,,
ArabPea-3_three-1,,ArabPea,3_three,kulpura,kulpura,,,Bowern2012,,,,
ArabPea-4_four-1,,ArabPea,4_four,noyoo,noyoo,,,Bowern2012,,,,
ArabStrang-1_one-1,,ArabStrang,1_one,oyoo,oyoo,,,Bowern2012,,,,
ArabStrang-2_two-1,,ArabStrang,2_two,kara-kolon,kara-kolon,,,Bowern2012,,,,
ArabStrang-4_four-1,,ArabStrang,4_four,kara-kolon-kara-kolon,kara-kolon-kara-kolon,,,Bowern2012,,,,
ArabEyr-1_one-1,,ArabEyr,1_one,oyoo,oyoo,,,Bowern2012,,,,
ArabEyr-2_two-1,,ArabEyr,2_two,parekula,parekula,,,Bowern2012,,,,
ArabEyr-3_three-1,,ArabEyr,3_three,kulparte,kulparte,,,Bowern2012,,,,
ArabEyr-4_four-1,,ArabEyr,4_four,parrkulu-parrkulu,parrkulu-parrkulu,,,Bowern2012,,,,
ArabWangkat-1_one-1,,ArabWangkat,1_one,sthuja,sthuja,,,Bowern2012,,,,
ArabWangkat-2_two-1,,ArabWangkat,2_two,parekula,parekula,,,Bowern2012,,,,
ArabWangkat-3_three-1,,ArabWangkat,3_three,kulpari,kulpari,,,Bowern2012,,,,
ArabWangkat-4_four-1,,ArabWangkat,4_four,parrkulu-parrkulu,parrkulu-parrkulu,,,Bowern2012,,,,
Arab-1_one-1,,Arab,1_one,"ŋuyu, windiŋuyu",ŋuyu,,,Bowern2012,,,,
Arab-2_two-1,,Arab,2_two,parkulu,parkulu,,,Bowern2012,,,,
Arab-3_three-1,,Arab,3_three,kulpari,kulpari,,,Bowern2012,,,,
Arab-10_ten-1,,Arab,10_ten,marapratyanta,marapratyanta,,,Bowern2012,,,,
Diya-1_one-1,,Diya,1_one,"kurnu, coono; kamanta, windikamanta",kurnu,,,Bowern2012,,,,
Diya-2_two-1,,Diya,2_two,"mandu, mandro",mandu,,,Bowern2012,,,,
Diya-3_three-1,,Diya,3_three,"parkulu, barcolo, parrkulu, parkuluwora",parkulu,,,Bowern2012,,,,
Diya-4_four-1,,Diya,4_four,mandro-mandro,mandro-mandro,,,Bowern2012,,,,
Diya-10_ten-1,,Diya,10_ten,marapratyanta,marapratyanta,,,Bowern2012,,,,
Kuung-1_one-1,,Kuung,1_one,"matina, murina; uŋal, yuŋkul; waŋkara",matina,,,Bowern2012,,,,
Kuung-2_two-1,,Kuung,2_two,"barcoola, boolara, bulardu, pulari, pularri, pula, pularru, pularu",barcoola,,,Bowern2012,,,,
Kuung-3_three-1,,Kuung,3_three,"tirri; barcoola matina, barcoola murina; bularaŋka:ny; kurrparu, kurruparru",tirri,,,Bowern2012,,,,
Kuung-4_four-1,,Kuung,4_four,barcoola barcoola,barcoola barcoola,,,Bowern2012,,,,
Mitha-1_one-1,,Mitha,1_one,kurnu,kurnu,,,Bowern2012,,,,
Mitha-2_two-1,,Mitha,2_two,"parkula, parrkulu",parkula,,,Bowern2012,,,,
Mitha-4_four-1,,Mitha,4_four,parkula parkula,parkula parkula,,,Bowern2012,,,,
Mitha-5_five-1,,Mitha,5_five,parkula parkula kurnu,parkula parkula kurnu,,,Bowern2012,,,,
NgamKop-1_one-1,,NgamKop,1_one,kulnu,kulnu,,,Bowern2012,,,,
NgamKop-2_two-1,,NgamKop,2_two,mondru; poolga,mondru,,,Bowern2012,,,,
NgamKop-3_three-1,,NgamKop,3_three,paruklulu; kulnu mondru,paruklulu,,,Bowern2012,,,,
NgamKop-4_four-1,,NgamKop,4_four,mondru-mondru,mondru-mondru,,,Bowern2012,,,,
Ngam-1_one-1,,Ngam,1_one,"ŋun[h]ara, ŋunara, windiŋunara",ŋun[h]ara,,,Bowern2012,,,,
Ngam-2_two-1,,Ngam,2_two,"par[a]kuna, parkuna",par[a]kuna,,,Bowern2012,,,,
Ngam-3_three-1,,Ngam,3_three,"par[a]kunaŋuna, parakuna ŋunara, paRkuna ŋanha?, parkunaŋunu",par[a]kunaŋuna,,,Bowern2012,,,,
Ngam-10_ten-1,,Ngam,10_ten,marapratyanta,marapratyanta,,,Bowern2012,,,,
Ngulu-1_one-1,,Ngulu,1_one,ooroo,ooroo,,,Bowern2012,,,,
Ngulu-2_two-1,,Ngulu,2_two,barkoola,barkoola,,,Bowern2012,,,,
Ngulu-3_three-1,,Ngulu,3_three,barkooleroo,barkooleroo,,,Bowern2012,,,,
Ngulu-4_four-1,,Ngulu,4_four,barkoola-barkoola,barkoola-barkoola,,,Bowern2012,,,,
Nhirr-1_one-1,,Nhirr,1_one,kurnu,kurnu,,,Bowern2012,,,,
Nhirr-2_two-1,,Nhirr,2_two,parrkulu,parrkulu,,,Bowern2012,,,,
Nhirr-3_three-1,,Nhirr,3_three,parrkulu kurnu,parrkulu kurnu,,,Bowern2012,,,,
Pirri-1_one-1,,Pirri,1_one,marinha; warba,marinha,,,Bowern2012,,,,
Pirri-2_two-1,,Pirri,2_two,"bularu, parrkula, parrkulu",bularu,,,Bowern2012,,,,
Pirri-3_three-1,,Pirri,3_three,kur:bara; parrkula marinha,kur:bara,,,Bowern2012,,,,
Pirri-4_four-1,,Pirri,4_four,parrkula parrkula,parrkula parrkula,,,Bowern2012,,,,
PitPit-1_one-1,,PitPit,1_one,"ŋuRuRu, noora",ŋuRuRu,,,Bowern2012,,,,
PitPit-2_two-1,,PitPit,2_two,"parrhkula, parrkula, barcoola",parrhkula,,,Bowern2012,,,,
PitPit-3_three-1,,PitPit,3_three,barcoola noora,barcoola noora,,,Bowern2012,,,,
PitPit-4_four-1,,PitPit,4_four,barcoola-barcoola,barcoola-barcoola,,,Bowern2012,,,,
Punth-1_one-1,,Punth,1_one,watyuwali,watyuwali,,,Bowern2012,,,,
Punth-2_two-1,,Punth,2_two,"parkula, parkulu",parkula,,,Bowern2012,,,,
Punth-3_three-1,,Punth,3_three,parkuwatyu,parkuwatyu,,,Bowern2012,,,,
RinRin-1_one-1,,RinRin,1_one,"ngooroo, knooroora",ngooroo,,,Bowern2012,,,,
RinRin-2_two-1,,RinRin,2_two,"barcoola, barkoola",barcoola,,,Bowern2012,,,,
RinRin-3_three-1,,RinRin,3_three,"ngooroo-barcoola, barkoola knoora",ngooroo-barcoola,,,Bowern2012,,,,
RinRin-4_four-1,,RinRin,4_four,"barcoola-barcoola, barkoola-barkoola",barcoola-barcoola,,,Bowern2012,,,,
Wanggan-1_one-1,,Wanggan,1_one,"ŋuyu, windiŋuyu",ŋuyu,,,Bowern2012,,,,
Wanggan-2_two-1,,Wanggan,2_two,parkulu,parkulu,,,Bowern2012,,,,
