"","ID","Local_ID","Language_ID","Parameter_ID","Value","Form","Segments","Comment","Source","Cognacy","Loan","Graphemes","Profile"
"1","Warlm-1_one-1",NA,"Warlm","1_one","jinta, tyinta","jinta",NA,NA,"Bowern2012",NA,NA,NA,NA
"2","Warlm-1_one-1",NA,"Warlm","1_one","jinta, tyinta","tyinta",NA,NA,"Bowern2012",NA,NA,NA,NA
"3","Warlm-2_two-1",NA,"Warlm","2_two","jirrama, tyirrama, tyirrima","jirrama",NA,NA,"Bowern2012",NA,NA,NA,NA
"4","Warlm-2_two-1",NA,"Warlm","2_two","jirrama, tyirrama, tyirrima","tyirrama",NA,NA,"Bowern2012",NA,NA,NA,NA
"5","Warlm-2_two-1",NA,"Warlm","2_two","jirrama, tyirrama, tyirrima","tyirrima",NA,NA,"Bowern2012",NA,NA,NA,NA
"6","Warlm-3_three-1",NA,"Warlm","3_three","tyirrima-tyinta","tyirrima-tyinta",NA,NA,"Bowern2012",NA,NA,NA,NA
