"","ID","Local_ID","Language_ID","Parameter_ID","Value","Form","Segments","Comment","Source","Cognacy","Loan","Graphemes","Profile"
"1","GuyaTorr-1_one-1",NA,"GuyaTorr","1_one","koopmana","koopmana",NA,NA,"Bowern2012",NA,NA,NA,NA
"2","GuyaTorr-2_two-1",NA,"GuyaTorr","2_two","kylepela","kylepela",NA,NA,"Bowern2012",NA,NA,NA,NA
"3","GuyaTorr-3_three-1",NA,"GuyaTorr","3_three","koolparoo","koolparoo",NA,NA,"Bowern2012",NA,NA,NA,NA
"4","GuyaTorr-4_four-1",NA,"GuyaTorr","4_four","merndoona-merndoona","merndoona-merndoona",NA,NA,"Bowern2012",NA,NA,NA,NA
