"","ID","Local_ID","Language_ID","Parameter_ID","Value","Form","Segments","Comment","Source","Cognacy","Loan","Graphemes","Profile"
"1","YarlEyr-1_one-1",NA,"YarlEyr","1_one","sthunara","sthunara",NA,NA,"Bowern2012",NA,NA,NA,NA
"2","YarlEyr-2_two-1",NA,"YarlEyr","2_two","parekulu","parekulu",NA,NA,"Bowern2012",NA,NA,NA,NA
"3","YarlEyr-3_three-1",NA,"YarlEyr","3_three","parakuauna","parakuauna",NA,NA,"Bowern2012",NA,NA,NA,NA
"4","YarlEyr-4_four-1",NA,"YarlEyr","4_four","parrkulu-parrkulu","parrkulu-parrkulu",NA,NA,"Bowern2012",NA,NA,NA,NA
