"","ID","Local_ID","Language_ID","Parameter_ID","Value","Form","Segments","Comment","Source","Cognacy","Loan","Graphemes","Profile"
"1","Pitj-1_one-1",NA,"Pitj","1_one","kutju, kutyu; kalani","kutju",NA,NA,"Bowern2012",NA,NA,NA,NA
"2","Pitj-1_one-1",NA,"Pitj","1_one","kutju, kutyu; kalani","kutyu",NA,NA,"Bowern2012",NA,NA,NA,NA
"3","Pitj-1_one-1",NA,"Pitj","1_one","kutju, kutyu; kalani","kalani",NA,NA,"Bowern2012",NA,NA,NA,NA
"4","Pitj-2_two-1",NA,"Pitj","2_two","kutyarra, kutjara","kutyarra",NA,NA,"Bowern2012",NA,NA,NA,NA
"5","Pitj-2_two-1",NA,"Pitj","2_two","kutyarra, kutjara","kutjara",NA,NA,"Bowern2012",NA,NA,NA,NA
"6","Pitj-3_three-1",NA,"Pitj","3_three","man̠kur(pa), makur(pa)","man̠kur(pa)",NA,NA,"Bowern2012",NA,NA,NA,NA
"7","Pitj-3_three-1",NA,"Pitj","3_three","man̠kur(pa), makur(pa)","makur(pa)",NA,NA,"Bowern2012",NA,NA,NA,NA
"8","Pitj-4_four-1",NA,"Pitj","4_four","kutjara-kutjara","kutjara-kutjara",NA,NA,"Bowern2012",NA,NA,NA,NA
"9","Pitj-5_five-1",NA,"Pitj","5_five","paipa; kutjara-man̠kur(pa)","paipa",NA,NA,"Bowern2012",NA,NA,NA,NA
"10","Pitj-5_five-1",NA,"Pitj","5_five","paipa; kutjara-man̠kur(pa)","kutjara-man̠kur(pa)",NA,NA,"Bowern2012",NA,NA,NA,NA
"11","Pitj-6_six-1",NA,"Pitj","6_six","man̠kur-man̠kur(pa)","man̠kur-man̠kur(pa)",NA,NA,"Bowern2012",NA,NA,NA,NA
