"","ID","Local_ID","Language_ID","Parameter_ID","Value","Form","Segments","Comment","Source","Cognacy","Loan","Graphemes","Profile"
"1","Wiradjuri-1_one-1",NA,"Wiradjuri","1_one","ŋunpa:y","ŋunpa:y",NA,NA,"Bowern2012",NA,NA,NA,NA
"2","Wiradjuri-2_two-1",NA,"Wiradjuri","2_two","pula","pula",NA,NA,"Bowern2012",NA,NA,NA,NA
"3","Wiradjuri-3_three-1",NA,"Wiradjuri","3_three","ŋunpa:y-pula, pula-ŋunpa:y","ŋunpa:y-pula",NA,NA,"Bowern2012",NA,NA,NA,NA
"4","Wiradjuri-3_three-1",NA,"Wiradjuri","3_three","ŋunpa:y-pula, pula-ŋunpa:y","pula-ŋunpa:y",NA,NA,"Bowern2012",NA,NA,NA,NA
"5","Wiradjuri-4_four-1",NA,"Wiradjuri","4_four","pula-pula; puŋu","pula-pula",NA,NA,"Bowern2012",NA,NA,NA,NA
"6","Wiradjuri-4_four-1",NA,"Wiradjuri","4_four","pula-pula; puŋu","puŋu",NA,NA,"Bowern2012",NA,NA,NA,NA
