"","ID","Local_ID","Language_ID","Parameter_ID","Value","Form","Segments","Comment","Source","Cognacy","Loan","Graphemes","Profile"
"1","Bardi-1_one-1",NA,"Bardi","1_one","arinyji","arinyji",NA,NA,"Bowern2012",NA,NA,NA,NA
"2","Bardi-2_two-1",NA,"Bardi","2_two","gooyarra","gooyarra",NA,NA,"Bowern2012",NA,NA,NA,NA
"3","Bardi-3_three-1",NA,"Bardi","3_three","irrjar","irrjar",NA,NA,"Bowern2012",NA,NA,NA,NA
"4","Bardi-4_four-1",NA,"Bardi","4_four","gooyarra-gooyarra","gooyarra-gooyarra",NA,NA,"Bowern2012",NA,NA,NA,NA
