"","ID","Local_ID","Language_ID","Parameter_ID","Value","Form","Segments","Comment","Source","Cognacy","Loan","Graphemes","Profile"
"1","Hawk-1_one-1",NA,"Hawk","1_one","wagul","wagul",NA,NA,"Bowern2012",NA,NA,NA,NA
"2","Hawk-2_two-1",NA,"Hawk","2_two","bula","bula",NA,NA,"Bowern2012",NA,NA,NA,NA
"3","Hawk-3_three-1",NA,"Hawk","3_three","barang, bulawagul, gurai","barang",NA,NA,"Bowern2012",NA,NA,NA,NA
"4","Hawk-3_three-1",NA,"Hawk","3_three","barang, bulawagul, gurai","bulawagul",NA,NA,"Bowern2012",NA,NA,NA,NA
"5","Hawk-3_three-1",NA,"Hawk","3_three","barang, bulawagul, gurai","gurai",NA,NA,"Bowern2012",NA,NA,NA,NA
