"","ID","Local_ID","Language_ID","Parameter_ID","Value","Form","Segments","Comment","Source","Cognacy","Loan","Graphemes","Profile"
"1","Wanggam-1_one-1",NA,"Wanggam","1_one","kunyala","kunyala",NA,NA,"Bowern2012",NA,NA,NA,NA
"2","Wanggam-2_two-1",NA,"Wanggam","2_two","parrkulu","parrkulu",NA,NA,"Bowern2012",NA,NA,NA,NA
"3","Wanggam-3_three-1",NA,"Wanggam","3_three","parrkulukunyu","parrkulukunyu",NA,NA,"Bowern2012",NA,NA,NA,NA
"4","Wanggam-4_four-1",NA,"Wanggam","4_four","walkana","walkana",NA,NA,"Bowern2012",NA,NA,NA,NA
"5","Wanggam-5_five-1",NA,"Wanggam","5_five","wirr/lpariŋa","wirr/lpariŋa",NA,NA,"Bowern2012",NA,NA,NA,NA
