"","ID","Local_ID","Language_ID","Parameter_ID","Value","Form","Segments","Comment","Source","Cognacy","Loan","Graphemes","Profile"
"1","Wangku-1_one-1",NA,"Wangku","1_one","watyuwarli","watyuwarli",NA,NA,"Bowern2012",NA,NA,NA,NA
"2","Wangku-2_two-1",NA,"Wangku","2_two","parrkulu","parrkulu",NA,NA,"Bowern2012",NA,NA,NA,NA
"3","Wangku-3_three-1",NA,"Wangku","3_three","parrkuwatyu","parrkuwatyu",NA,NA,"Bowern2012",NA,NA,NA,NA
"4","Wangku-4_four-1",NA,"Wangku","4_four","parrkulparrkulu","parrkulparrkulu",NA,NA,"Bowern2012",NA,NA,NA,NA
"5","Wangku-5_five-1",NA,"Wangku","5_five","mara","mara",NA,NA,"Bowern2012",NA,NA,NA,NA
