"","ID","Local_ID","Language_ID","Parameter_ID","Value","Form","Segments","Comment","Source","Cognacy","Loan","Graphemes","Profile"
"1","Kija-1_one-1",NA,"Kija","1_one","ganmel, jirrawu-, jirrawuke-","ganmel",NA,NA,"Bowern2012",NA,NA,NA,NA
"2","Kija-1_one-1",NA,"Kija","1_one","ganmel, jirrawu-, jirrawuke-","jirrawu-",NA,NA,"Bowern2012",NA,NA,NA,NA
"3","Kija-1_one-1",NA,"Kija","1_one","ganmel, jirrawu-, jirrawuke-","jirrawuke-",NA,NA,"Bowern2012",NA,NA,NA,NA
"4","Kija-2_two-1",NA,"Kija","2_two","pangariny","pangariny",NA,NA,"Bowern2012",NA,NA,NA,NA
"5","Kija-3_three-1",NA,"Kija","3_three","merrkernpem","merrkernpem",NA,NA,"Bowern2012",NA,NA,NA,NA
