"","ID","Local_ID","Language_ID","Parameter_ID","Value","Form","Segments","Comment","Source","Cognacy","Loan","Graphemes","Profile"
"1","Jaru-1_one-1",NA,"Jaru","1_one","yaŋi, gaŋi, yani","yaŋi",NA,NA,"Bowern2012",NA,NA,NA,NA
"2","Jaru-1_one-1",NA,"Jaru","1_one","yaŋi, gaŋi, yani","gaŋi",NA,NA,"Bowern2012",NA,NA,NA,NA
"3","Jaru-1_one-1",NA,"Jaru","1_one","yaŋi, gaŋi, yani","yani",NA,NA,"Bowern2012",NA,NA,NA,NA
"4","Jaru-2_two-1",NA,"Jaru","2_two","kutyarra, gudyara","kutyarra",NA,NA,"Bowern2012",NA,NA,NA,NA
"5","Jaru-2_two-1",NA,"Jaru","2_two","kutyarra, gudyara","gudyara",NA,NA,"Bowern2012",NA,NA,NA,NA
"6","Jaru-3_three-1",NA,"Jaru","3_three","murrkun, murgun, mogon","murrkun",NA,NA,"Bowern2012",NA,NA,NA,NA
"7","Jaru-3_three-1",NA,"Jaru","3_three","murrkun, murgun, mogon","murgun",NA,NA,"Bowern2012",NA,NA,NA,NA
"8","Jaru-3_three-1",NA,"Jaru","3_three","murrkun, murgun, mogon","mogon",NA,NA,"Bowern2012",NA,NA,NA,NA
"9","Jaru-4_four-1",NA,"Jaru","4_four","muntapala","muntapala",NA,NA,"Bowern2012",NA,NA,NA,NA
