"","ID","Local_ID","Language_ID","Parameter_ID","Value","Form","Segments","Comment","Source","Cognacy","Loan","Graphemes","Profile"
"1","Yandr-1_one-1",NA,"Yandr","1_one","kulno, kurnu","kulno",NA,NA,"Bowern2012",NA,NA,NA,NA
"2","Yandr-1_one-1",NA,"Yandr","1_one","kulno, kurnu","kurnu",NA,NA,"Bowern2012",NA,NA,NA,NA
"3","Yandr-2_two-1",NA,"Yandr","2_two","parrkulu; pulpa","parrkulu",NA,NA,"Bowern2012",NA,NA,NA,NA
"4","Yandr-2_two-1",NA,"Yandr","2_two","parrkulu; pulpa","pulpa",NA,NA,"Bowern2012",NA,NA,NA,NA
"5","Yandr-3_three-1",NA,"Yandr","3_three","parrkukurnu","parrkukurnu",NA,NA,"Bowern2012",NA,NA,NA,NA
"6","Yandr-4_four-1",NA,"Yandr","4_four","parrkulu parrkulu","parrkulu parrkulu",NA,NA,"Bowern2012",NA,NA,NA,NA
"7","Yandr-5_five-1",NA,"Yandr","5_five","mara","mara",NA,NA,"Bowern2012",NA,NA,NA,NA
"8","Yandr-10_ten-1",NA,"Yandr","10_ten","mara parrkulu; maramalkiri","mara parrkulu",NA,NA,"Bowern2012",NA,NA,NA,NA
"9","Yandr-10_ten-1",NA,"Yandr","10_ten","mara parrkulu; maramalkiri","maramalkiri",NA,NA,"Bowern2012",NA,NA,NA,NA
