"","ID","Local_ID","Language_ID","Parameter_ID","Value","Form","Segments","Comment","Source","Cognacy","Loan","Graphemes","Profile"
"1","ArabPea-1_one-1",NA,"ArabPea","1_one","weyoo","weyoo",NA,NA,"Bowern2012",NA,NA,NA,NA
"2","ArabPea-2_two-1",NA,"ArabPea","2_two","parekula","parekula",NA,NA,"Bowern2012",NA,NA,NA,NA
"3","ArabPea-3_three-1",NA,"ArabPea","3_three","kulpura","kulpura",NA,NA,"Bowern2012",NA,NA,NA,NA
"4","ArabPea-4_four-1",NA,"ArabPea","4_four","noyoo","noyoo",NA,NA,"Bowern2012",NA,NA,NA,NA
