"","ID","Local_ID","Language_ID","Parameter_ID","Value","Form","Segments","Comment","Source","Cognacy","Loan","Graphemes","Profile"
"1","Karad-1_one-1",NA,"Karad","1_one","waraca, warraca, warany","waraca",NA,NA,"Bowern2012",NA,NA,NA,NA
"2","Karad-1_one-1",NA,"Karad","1_one","waraca, warraca, warany","warraca",NA,NA,"Bowern2012",NA,NA,NA,NA
"3","Karad-1_one-1",NA,"Karad","1_one","waraca, warraca, warany","warany",NA,NA,"Bowern2012",NA,NA,NA,NA
"4","Karad-2_two-1",NA,"Karad","2_two","kucarra","kucarra",NA,NA,"Bowern2012",NA,NA,NA,NA
"5","Karad-3_three-1",NA,"Karad","3_three","kucarra warany, kucarra pa waraca","kucarra warany",NA,NA,"Bowern2012",NA,NA,NA,NA
"6","Karad-3_three-1",NA,"Karad","3_three","kucarra warany, kucarra pa waraca","kucarra pa waraca",NA,NA,"Bowern2012",NA,NA,NA,NA
"7","Karad-4_four-1",NA,"Karad","4_four","kucarra pa kucarra","kucarra pa kucarra",NA,NA,"Bowern2012",NA,NA,NA,NA
"8","Karad-5_five-1",NA,"Karad","5_five","kucarra kutiti; papirr waraca karti","kucarra kutiti",NA,NA,"Bowern2012",NA,NA,NA,NA
"9","Karad-5_five-1",NA,"Karad","5_five","kucarra kutiti; papirr waraca karti","papirr waraca karti",NA,NA,"Bowern2012",NA,NA,NA,NA
"10","Karad-10_ten-1",NA,"Karad","10_ten","papirr kucarra karti","papirr kucarra karti",NA,NA,"Bowern2012",NA,NA,NA,NA
