"","ID","Local_ID","Language_ID","Parameter_ID","Value","Form","Segments","Comment","Source","Cognacy","Loan","Graphemes","Profile"
"1","Culgoa-1_one-1",NA,"Culgoa","1_one","yahumun","yahumun",NA,NA,"Bowern2012",NA,NA,NA,NA
"2","Culgoa-2_two-1",NA,"Culgoa","2_two","kubbo","kubbo",NA,NA,"Bowern2012",NA,NA,NA,NA
"3","Culgoa-3_three-1",NA,"Culgoa","3_three","booragoolam","booragoolam",NA,NA,"Bowern2012",NA,NA,NA,NA
"4","Culgoa-4_four-1",NA,"Culgoa","4_four","kubbo-kubbo","kubbo-kubbo",NA,NA,"Bowern2012",NA,NA,NA,NA
