"","ID","Local_ID","Language_ID","Parameter_ID","Value","Form","Segments","Comment","Source","Cognacy","Loan","Graphemes","Profile"
"1","Wanm-1_one-1",NA,"Wanm","1_one","kumpinyu; partu","kumpinyu",NA,NA,"Bowern2012",NA,NA,NA,NA
"2","Wanm-1_one-1",NA,"Wanm","1_one","kumpinyu; partu","partu",NA,NA,"Bowern2012",NA,NA,NA,NA
"3","Wanm-2_two-1",NA,"Wanm","2_two","kujarra, -kujarra; -pula","kujarra",NA,NA,"Bowern2012",NA,NA,NA,NA
"4","Wanm-2_two-1",NA,"Wanm","2_two","kujarra, -kujarra; -pula","-kujarra",NA,NA,"Bowern2012",NA,NA,NA,NA
"5","Wanm-2_two-1",NA,"Wanm","2_two","kujarra, -kujarra; -pula","-pula",NA,NA,"Bowern2012",NA,NA,NA,NA
"6","Wanm-3_three-1",NA,"Wanm","3_three","kujarra kumpinya, kujarrapartu; yupalpa, wupalypa","kujarra kumpinya",NA,NA,"Bowern2012",NA,NA,NA,NA
"7","Wanm-3_three-1",NA,"Wanm","3_three","kujarra kumpinya, kujarrapartu; yupalpa, wupalypa","kujarrapartu",NA,NA,"Bowern2012",NA,NA,NA,NA
"8","Wanm-3_three-1",NA,"Wanm","3_three","kujarra kumpinya, kujarrapartu; yupalpa, wupalypa","yupalpa",NA,NA,"Bowern2012",NA,NA,NA,NA
"9","Wanm-3_three-1",NA,"Wanm","3_three","kujarra kumpinya, kujarrapartu; yupalpa, wupalypa","wupalypa",NA,NA,"Bowern2012",NA,NA,NA,NA
"10","Wanm-4_four-1",NA,"Wanm","4_four","kucarrakucarra, kujarra kujarra","kucarrakucarra",NA,NA,"Bowern2012",NA,NA,NA,NA
"11","Wanm-4_four-1",NA,"Wanm","4_four","kucarrakucarra, kujarra kujarra","kujarra kujarra",NA,NA,"Bowern2012",NA,NA,NA,NA
"12","Wanm-5_five-1",NA,"Wanm","5_five","kucarra2 partu, kujarra kujarra kumpinyu","kucarra2 partu",NA,NA,"Bowern2012",NA,NA,NA,NA
"13","Wanm-5_five-1",NA,"Wanm","5_five","kucarra2 partu, kujarra kujarra kumpinyu","kujarra kujarra kumpinyu",NA,NA,"Bowern2012",NA,NA,NA,NA
