"","ID","Local_ID","Language_ID","Parameter_ID","Value","Form","Segments","Comment","Source","Cognacy","Loan","Graphemes","Profile"
"1","Yuwliy-1_one-1",NA,"Yuwliy","1_one","pi:rr, piyarr; milan; .DHu:l","pi:rr",NA,NA,"Bowern2012",NA,NA,NA,NA
"2","Yuwliy-1_one-1",NA,"Yuwliy","1_one","pi:rr, piyarr; milan; .DHu:l","piyarr",NA,NA,"Bowern2012",NA,NA,NA,NA
"3","Yuwliy-1_one-1",NA,"Yuwliy","1_one","pi:rr, piyarr; milan; .DHu:l","milan",NA,NA,"Bowern2012",NA,NA,NA,NA
"4","Yuwliy-1_one-1",NA,"Yuwliy","1_one","pi:rr, piyarr; milan; .DHu:l",".DHu:l",NA,NA,"Bowern2012",NA,NA,NA,NA
"5","Yuwliy-2_two-1",NA,"Yuwliy","2_two","pula:rr","pula:rr",NA,NA,"Bowern2012",NA,NA,NA,NA
"6","Yuwliy-3_three-1",NA,"Yuwliy","3_three","kulipa:","kulipa:",NA,NA,"Bowern2012",NA,NA,NA,NA
