"","ID","Local_ID","Language_ID","Parameter_ID","Value","Form","Segments","Comment","Source","Cognacy","Loan","Graphemes","Profile"
"1","RinRin-1_one-1",NA,"RinRin","1_one","ngooroo, knooroora","ngooroo",NA,NA,"Bowern2012",NA,NA,NA,NA
"2","RinRin-1_one-1",NA,"RinRin","1_one","ngooroo, knooroora","knooroora",NA,NA,"Bowern2012",NA,NA,NA,NA
"3","RinRin-2_two-1",NA,"RinRin","2_two","barcoola, barkoola","barcoola",NA,NA,"Bowern2012",NA,NA,NA,NA
"4","RinRin-2_two-1",NA,"RinRin","2_two","barcoola, barkoola","barkoola",NA,NA,"Bowern2012",NA,NA,NA,NA
"5","RinRin-3_three-1",NA,"RinRin","3_three","ngooroo-barcoola, barkoola knoora","ngooroo-barcoola",NA,NA,"Bowern2012",NA,NA,NA,NA
"6","RinRin-3_three-1",NA,"RinRin","3_three","ngooroo-barcoola, barkoola knoora","barkoola knoora",NA,NA,"Bowern2012",NA,NA,NA,NA
"7","RinRin-4_four-1",NA,"RinRin","4_four","barcoola-barcoola, barkoola-barkoola","barcoola-barcoola",NA,NA,"Bowern2012",NA,NA,NA,NA
"8","RinRin-4_four-1",NA,"RinRin","4_four","barcoola-barcoola, barkoola-barkoola","barkoola-barkoola",NA,NA,"Bowern2012",NA,NA,NA,NA
