"","ID","Local_ID","Language_ID","Parameter_ID","Value","Form","Segments","Comment","Source","Cognacy","Loan","Graphemes","Profile"
"1","Wemba-1_one-1",NA,"Wemba","1_one","ongbee","ongbee",NA,NA,"Bowern2012",NA,NA,NA,NA
"2","Wemba-2_two-1",NA,"Wemba","2_two","pula","pula",NA,NA,"Bowern2012",NA,NA,NA,NA
"3","Wemba-3_three-1",NA,"Wemba","3_three","bul-la ongbee","bul-la ongbee",NA,NA,"Bowern2012",NA,NA,NA,NA
"4","Wemba-4_four-1",NA,"Wemba","4_four","bulla bulla","bulla bulla",NA,NA,"Bowern2012",NA,NA,NA,NA
