"","ID","Local_ID","Language_ID","Parameter_ID","Value","Form","Segments","Comment","Source","Cognacy","Loan","Graphemes","Profile"
"1","Guya-1_one-1",NA,"Guya","1_one","kumana, kupnana, coobmana, kubmanha","kumana",NA,NA,"Bowern2012",NA,NA,NA,NA
"2","Guya-1_one-1",NA,"Guya","1_one","kumana, kupnana, coobmana, kubmanha","kupnana",NA,NA,"Bowern2012",NA,NA,NA,NA
"3","Guya-1_one-1",NA,"Guya","1_one","kumana, kupnana, coobmana, kubmanha","coobmana",NA,NA,"Bowern2012",NA,NA,NA,NA
"4","Guya-1_one-1",NA,"Guya","1_one","kumana, kupnana, coobmana, kubmanha","kubmanha",NA,NA,"Bowern2012",NA,NA,NA,NA
"5","Guya-2_two-1",NA,"Guya","2_two","mandu, mundru","mandu",NA,NA,"Bowern2012",NA,NA,NA,NA
"6","Guya-2_two-1",NA,"Guya","2_two","mandu, mundru","mundru",NA,NA,"Bowern2012",NA,NA,NA,NA
"7","Guya-3_three-1",NA,"Guya","3_three","kulpari, culpara","kulpari",NA,NA,"Bowern2012",NA,NA,NA,NA
"8","Guya-3_three-1",NA,"Guya","3_three","kulpari, culpara","culpara",NA,NA,"Bowern2012",NA,NA,NA,NA
"9","Guya-4_four-1",NA,"Guya","4_four","mundru-mundru","mundru-mundru",NA,NA,"Bowern2012",NA,NA,NA,NA
"10","Guya-10_ten-1",NA,"Guya","10_ten","marakuruninkuta","marakuruninkuta",NA,NA,"Bowern2012",NA,NA,NA,NA
