"","ID","Local_ID","Language_ID","Parameter_ID","Value","Form","Segments","Comment","Source","Cognacy","Loan","Graphemes","Profile"
"1","BrewBar-1_one-1",NA,"BrewBar","1_one","mago","mago",NA,NA,"Bowern2012",NA,NA,NA,NA
"2","BrewBar-2_two-1",NA,"BrewBar","2_two","boollaga","boollaga",NA,NA,"Bowern2012",NA,NA,NA,NA
"3","BrewBar-3_three-1",NA,"BrewBar","3_three","gulliba","gulliba",NA,NA,"Bowern2012",NA,NA,NA,NA
"4","BrewBar-4_four-1",NA,"BrewBar","4_four","boollaga-boollaga","boollaga-boollaga",NA,NA,"Bowern2012",NA,NA,NA,NA
