"","ID","Local_ID","Language_ID","Parameter_ID","Value","Form","Segments","Comment","Source","Cognacy","Loan","Graphemes","Profile"
"1","KamilStat-1_one-1",NA,"KamilStat","1_one","goreen","goreen",NA,NA,"Bowern2012",NA,NA,NA,NA
"2","KamilStat-2_two-1",NA,"KamilStat","2_two","bulla","bulla",NA,NA,"Bowern2012",NA,NA,NA,NA
"3","KamilStat-3_three-1",NA,"KamilStat","3_three","bulla-go-go-run","bulla-go-go-run",NA,NA,"Bowern2012",NA,NA,NA,NA
"4","KamilStat-4_four-1",NA,"KamilStat","4_four","in-ca-moo","in-ca-moo",NA,NA,"Bowern2012",NA,NA,NA,NA
