"","ID","Local_ID","Language_ID","Parameter_ID","Value","Form","Segments","Comment","Source","Cognacy","Loan","Graphemes","Profile"
"1","Warrw-1_one-1",NA,"Warrw","1_one","warany, wanyjarri","warany",NA,NA,"Bowern2012",NA,NA,NA,NA
"2","Warrw-1_one-1",NA,"Warrw","1_one","warany, wanyjarri","wanyjarri",NA,NA,"Bowern2012",NA,NA,NA,NA
"3","Warrw-2_two-1",NA,"Warrw","2_two","kujarra","kujarra",NA,NA,"Bowern2012",NA,NA,NA,NA
"4","Warrw-3_three-1",NA,"Warrw","3_three","kujarra layina; layana","kujarra layina",NA,NA,"Bowern2012",NA,NA,NA,NA
"5","Warrw-3_three-1",NA,"Warrw","3_three","kujarra layina; layana","layana",NA,NA,"Bowern2012",NA,NA,NA,NA
