"","ID","Local_ID","Language_ID","Parameter_ID","Value","Form","Segments","Comment","Source","Cognacy","Loan","Graphemes","Profile"
"1","Nundle-1_one-1",NA,"Nundle","1_one","marl","marl",NA,NA,"Bowern2012",NA,NA,NA,NA
"2","Nundle-2_two-1",NA,"Nundle","2_two","pula:","pula:",NA,NA,"Bowern2012",NA,NA,NA,NA
"3","Nundle-3_three-1",NA,"Nundle","3_three","kooliba","kooliba",NA,NA,"Bowern2012",NA,NA,NA,NA
