"","ID","Local_ID","Language_ID","Parameter_ID","Value","Form","Segments","Comment","Source","Cognacy","Loan","Graphemes","Profile"
"1","Wiradhurri-1_one-1",NA,"Wiradhurri","1_one","magu, migu, mawa; midang; [ŋ]anbi, [ŋ]ånbi, [ŋ]åŋbi, [ŋ]unbai, [ŋ]unbåi, [ŋ]unbi, munbai, naŋgåi, nganbi, ngunbai, nyunbi, ŋanbai, ŋanbiya, ŋunbai, ŋunbi, onebi, wåmbai, wånbåi, wunbi, yunbai; wallawin; dangu; guwayinbayin","magu",NA,NA,"Bowern2012",NA,NA,NA,NA
"2","Wiradhurri-1_one-1",NA,"Wiradhurri","1_one","magu, migu, mawa; midang; [ŋ]anbi, [ŋ]ånbi, [ŋ]åŋbi, [ŋ]unbai, [ŋ]unbåi, [ŋ]unbi, munbai, naŋgåi, nganbi, ngunbai, nyunbi, ŋanbai, ŋanbiya, ŋunbai, ŋunbi, onebi, wåmbai, wånbåi, wunbi, yunbai; wallawin; dangu; guwayinbayin","migu",NA,NA,"Bowern2012",NA,NA,NA,NA
"3","Wiradhurri-1_one-1",NA,"Wiradhurri","1_one","magu, migu, mawa; midang; [ŋ]anbi, [ŋ]ånbi, [ŋ]åŋbi, [ŋ]unbai, [ŋ]unbåi, [ŋ]unbi, munbai, naŋgåi, nganbi, ngunbai, nyunbi, ŋanbai, ŋanbiya, ŋunbai, ŋunbi, onebi, wåmbai, wånbåi, wunbi, yunbai; wallawin; dangu; guwayinbayin","mawa",NA,NA,"Bowern2012",NA,NA,NA,NA
"4","Wiradhurri-1_one-1",NA,"Wiradhurri","1_one","magu, migu, mawa; midang; [ŋ]anbi, [ŋ]ånbi, [ŋ]åŋbi, [ŋ]unbai, [ŋ]unbåi, [ŋ]unbi, munbai, naŋgåi, nganbi, ngunbai, nyunbi, ŋanbai, ŋanbiya, ŋunbai, ŋunbi, onebi, wåmbai, wånbåi, wunbi, yunbai; wallawin; dangu; guwayinbayin","midang",NA,NA,"Bowern2012",NA,NA,NA,NA
"5","Wiradhurri-1_one-1",NA,"Wiradhurri","1_one","magu, migu, mawa; midang; [ŋ]anbi, [ŋ]ånbi, [ŋ]åŋbi, [ŋ]unbai, [ŋ]unbåi, [ŋ]unbi, munbai, naŋgåi, nganbi, ngunbai, nyunbi, ŋanbai, ŋanbiya, ŋunbai, ŋunbi, onebi, wåmbai, wånbåi, wunbi, yunbai; wallawin; dangu; guwayinbayin","[ŋ]anbi",NA,NA,"Bowern2012",NA,NA,NA,NA
"6","Wiradhurri-1_one-1",NA,"Wiradhurri","1_one","magu, migu, mawa; midang; [ŋ]anbi, [ŋ]ånbi, [ŋ]åŋbi, [ŋ]unbai, [ŋ]unbåi, [ŋ]unbi, munbai, naŋgåi, nganbi, ngunbai, nyunbi, ŋanbai, ŋanbiya, ŋunbai, ŋunbi, onebi, wåmbai, wånbåi, wunbi, yunbai; wallawin; dangu; guwayinbayin","[ŋ]ånbi",NA,NA,"Bowern2012",NA,NA,NA,NA
"7","Wiradhurri-1_one-1",NA,"Wiradhurri","1_one","magu, migu, mawa; midang; [ŋ]anbi, [ŋ]ånbi, [ŋ]åŋbi, [ŋ]unbai, [ŋ]unbåi, [ŋ]unbi, munbai, naŋgåi, nganbi, ngunbai, nyunbi, ŋanbai, ŋanbiya, ŋunbai, ŋunbi, onebi, wåmbai, wånbåi, wunbi, yunbai; wallawin; dangu; guwayinbayin","[ŋ]åŋbi",NA,NA,"Bowern2012",NA,NA,NA,NA
"8","Wiradhurri-1_one-1",NA,"Wiradhurri","1_one","magu, migu, mawa; midang; [ŋ]anbi, [ŋ]ånbi, [ŋ]åŋbi, [ŋ]unbai, [ŋ]unbåi, [ŋ]unbi, munbai, naŋgåi, nganbi, ngunbai, nyunbi, ŋanbai, ŋanbiya, ŋunbai, ŋunbi, onebi, wåmbai, wånbåi, wunbi, yunbai; wallawin; dangu; guwayinbayin","[ŋ]unbai",NA,NA,"Bowern2012",NA,NA,NA,NA
"9","Wiradhurri-1_one-1",NA,"Wiradhurri","1_one","magu, migu, mawa; midang; [ŋ]anbi, [ŋ]ånbi, [ŋ]åŋbi, [ŋ]unbai, [ŋ]unbåi, [ŋ]unbi, munbai, naŋgåi, nganbi, ngunbai, nyunbi, ŋanbai, ŋanbiya, ŋunbai, ŋunbi, onebi, wåmbai, wånbåi, wunbi, yunbai; wallawin; dangu; guwayinbayin","[ŋ]unbåi",NA,NA,"Bowern2012",NA,NA,NA,NA
"10","Wiradhurri-1_one-1",NA,"Wiradhurri","1_one","magu, migu, mawa; midang; [ŋ]anbi, [ŋ]ånbi, [ŋ]åŋbi, [ŋ]unbai, [ŋ]unbåi, [ŋ]unbi, munbai, naŋgåi, nganbi, ngunbai, nyunbi, ŋanbai, ŋanbiya, ŋunbai, ŋunbi, onebi, wåmbai, wånbåi, wunbi, yunbai; wallawin; dangu; guwayinbayin","[ŋ]unbi",NA,NA,"Bowern2012",NA,NA,NA,NA
