"","ID","Local_ID","Language_ID","Parameter_ID","Value","Form","Segments","Comment","Source","Cognacy","Loan","Graphemes","Profile"
"1","Kajir-1_one-1",NA,"Kajir","1_one","djerrawiyang, jerrawiyang, jirrayang, jirrayany","djerrawiyang",NA,NA,"Bowern2012",NA,NA,NA,NA
"2","Kajir-1_one-1",NA,"Kajir","1_one","djerrawiyang, jerrawiyang, jirrayang, jirrayany","jerrawiyang",NA,NA,"Bowern2012",NA,NA,NA,NA
"3","Kajir-1_one-1",NA,"Kajir","1_one","djerrawiyang, jerrawiyang, jirrayang, jirrayany","jirrayang",NA,NA,"Bowern2012",NA,NA,NA,NA
"4","Kajir-1_one-1",NA,"Kajir","1_one","djerrawiyang, jerrawiyang, jirrayang, jirrayany","jirrayany",NA,NA,"Bowern2012",NA,NA,NA,NA
"5","Kajir-2_two-1",NA,"Kajir","2_two","ganggoob, garnmelb, garnmeleng","ganggoob",NA,NA,"Bowern2012",NA,NA,NA,NA
"6","Kajir-2_two-1",NA,"Kajir","2_two","ganggoob, garnmelb, garnmeleng","garnmelb",NA,NA,"Bowern2012",NA,NA,NA,NA
"7","Kajir-2_two-1",NA,"Kajir","2_two","ganggoob, garnmelb, garnmeleng","garnmeleng",NA,NA,"Bowern2012",NA,NA,NA,NA
"8","Kajir-3_three-1",NA,"Kajir","3_three","merrgern","merrgern",NA,NA,"Bowern2012",NA,NA,NA,NA
