"","ID","Local_ID","Language_ID","Parameter_ID","Value","Form","Segments","Comment","Source","Cognacy","Loan","Graphemes","Profile"
"1","Wonar-1_one-1",NA,"Wonar","1_one","manan","manan",NA,NA,"Bowern2012",NA,NA,NA,NA
"2","Wonar-2_two-1",NA,"Wonar","2_two","bulwarra","bulwarra",NA,NA,"Bowern2012",NA,NA,NA,NA
"3","Wonar-3_three-1",NA,"Wonar","3_three","nalaran, waggul","nalaran",NA,NA,"Bowern2012",NA,NA,NA,NA
"4","Wonar-3_three-1",NA,"Wonar","3_three","nalaran, waggul","waggul",NA,NA,"Bowern2012",NA,NA,NA,NA
"5","Wonar-4_four-1",NA,"Wonar","4_four","darri, garrawil","darri",NA,NA,"Bowern2012",NA,NA,NA,NA
"6","Wonar-4_four-1",NA,"Wonar","4_four","darri, garrawil","garrawil",NA,NA,"Bowern2012",NA,NA,NA,NA
