"","ID","Local_ID","Language_ID","Parameter_ID","Value","Form","Segments","Comment","Source","Cognacy","Loan","Graphemes","Profile"
"1","Bula-1_one-1",NA,"Bula","1_one","yakulu","yakulu",NA,NA,"Bowern2012",NA,NA,NA,NA
"2","Bula-2_two-1",NA,"Bula","2_two","gutyiya, guciya","gutyiya",NA,NA,"Bowern2012",NA,NA,NA,NA
"3","Bula-2_two-1",NA,"Bula","2_two","gutyiya, guciya","guciya",NA,NA,"Bowern2012",NA,NA,NA,NA
"4","Bula-3_three-1",NA,"Bula","3_three","gudyiŋakulu","gudyiŋakulu",NA,NA,"Bowern2012",NA,NA,NA,NA
