"","ID","Local_ID","Language_ID","Parameter_ID","Value","Form","Segments","Comment","Source","Cognacy","Loan","Graphemes","Profile"
"1","Diya-1_one-1",NA,"Diya","1_one","kurnu, coono; kamanta, windikamanta","kurnu",NA,NA,"Bowern2012",NA,NA,NA,NA
"2","Diya-1_one-1",NA,"Diya","1_one","kurnu, coono; kamanta, windikamanta","coono",NA,NA,"Bowern2012",NA,NA,NA,NA
"3","Diya-1_one-1",NA,"Diya","1_one","kurnu, coono; kamanta, windikamanta","kamanta",NA,NA,"Bowern2012",NA,NA,NA,NA
"4","Diya-1_one-1",NA,"Diya","1_one","kurnu, coono; kamanta, windikamanta","windikamanta",NA,NA,"Bowern2012",NA,NA,NA,NA
"5","Diya-2_two-1",NA,"Diya","2_two","mandu, mandro","mandu",NA,NA,"Bowern2012",NA,NA,NA,NA
"6","Diya-2_two-1",NA,"Diya","2_two","mandu, mandro","mandro",NA,NA,"Bowern2012",NA,NA,NA,NA
"7","Diya-3_three-1",NA,"Diya","3_three","parkulu, barcolo, parrkulu, parkuluwora","parkulu",NA,NA,"Bowern2012",NA,NA,NA,NA
"8","Diya-3_three-1",NA,"Diya","3_three","parkulu, barcolo, parrkulu, parkuluwora","barcolo",NA,NA,"Bowern2012",NA,NA,NA,NA
"9","Diya-3_three-1",NA,"Diya","3_three","parkulu, barcolo, parrkulu, parkuluwora","parrkulu",NA,NA,"Bowern2012",NA,NA,NA,NA
"10","Diya-3_three-1",NA,"Diya","3_three","parkulu, barcolo, parrkulu, parkuluwora","parkuluwora",NA,NA,"Bowern2012",NA,NA,NA,NA
"11","Diya-4_four-1",NA,"Diya","4_four","mandro-mandro","mandro-mandro",NA,NA,"Bowern2012",NA,NA,NA,NA
"12","Diya-10_ten-1",NA,"Diya","10_ten","marapratyanta","marapratyanta",NA,NA,"Bowern2012",NA,NA,NA,NA
