"","ID","Local_ID","Language_ID","Parameter_ID","Value","Form","Segments","Comment","Source","Cognacy","Loan","Graphemes","Profile"
"1","YandrCoo-1_one-1",NA,"YandrCoo","1_one","goona, koornoo","goona",NA,NA,"Bowern2012",NA,NA,NA,NA
"2","YandrCoo-1_one-1",NA,"YandrCoo","1_one","goona, koornoo","koornoo",NA,NA,"Bowern2012",NA,NA,NA,NA
"3","YandrCoo-2_two-1",NA,"YandrCoo","2_two","barkoola, parakoola","barkoola",NA,NA,"Bowern2012",NA,NA,NA,NA
"4","YandrCoo-2_two-1",NA,"YandrCoo","2_two","barkoola, parakoola","parakoola",NA,NA,"Bowern2012",NA,NA,NA,NA
"5","YandrCoo-3_three-1",NA,"YandrCoo","3_three","barkoola goona, parakoola koornoo","barkoola goona",NA,NA,"Bowern2012",NA,NA,NA,NA
"6","YandrCoo-3_three-1",NA,"YandrCoo","3_three","barkoola goona, parakoola koornoo","parakoola koornoo",NA,NA,"Bowern2012",NA,NA,NA,NA
"7","YandrCoo-4_four-1",NA,"YandrCoo","4_four","parrkula-parrkula","parrkula-parrkula",NA,NA,"Bowern2012",NA,NA,NA,NA
