"","ID","Local_ID","Language_ID","Parameter_ID","Value","Form","Segments","Comment","Source","Cognacy","Loan","Graphemes","Profile"
"1","Dubbo-1_one-1",NA,"Dubbo","1_one","oonby","oonby",NA,NA,"Bowern2012",NA,NA,NA,NA
"2","Dubbo-2_two-1",NA,"Dubbo","2_two","pula","pula",NA,NA,"Bowern2012",NA,NA,NA,NA
"3","Dubbo-3_three-1",NA,"Dubbo","3_three","bulla oonby","bulla oonby",NA,NA,"Bowern2012",NA,NA,NA,NA
"4","Dubbo-4_four-1",NA,"Dubbo","4_four","bulla bulla","bulla bulla",NA,NA,"Bowern2012",NA,NA,NA,NA
