"","ID","Local_ID","Language_ID","Parameter_ID","Value","Form","Segments","Comment","Source","Cognacy","Loan","Graphemes","Profile"
"1","Punth-1_one-1",NA,"Punth","1_one","watyuwali","watyuwali",NA,NA,"Bowern2012",NA,NA,NA,NA
"2","Punth-2_two-1",NA,"Punth","2_two","parkula, parkulu","parkula",NA,NA,"Bowern2012",NA,NA,NA,NA
"3","Punth-2_two-1",NA,"Punth","2_two","parkula, parkulu","parkulu",NA,NA,"Bowern2012",NA,NA,NA,NA
"4","Punth-3_three-1",NA,"Punth","3_three","parkuwatyu","parkuwatyu",NA,NA,"Bowern2012",NA,NA,NA,NA
