"","ID","Local_ID","Language_ID","Parameter_ID","Value","Form","Segments","Comment","Source","Cognacy","Loan","Graphemes","Profile"
"1","Gamil-1_one-1",NA,"Gamil","1_one","ma:l, maal, mal, mago; yaman","ma:l",NA,NA,"Bowern2012",NA,NA,NA,NA
"2","Gamil-1_one-1",NA,"Gamil","1_one","ma:l, maal, mal, mago; yaman","maal",NA,NA,"Bowern2012",NA,NA,NA,NA
"3","Gamil-1_one-1",NA,"Gamil","1_one","ma:l, maal, mal, mago; yaman","mal",NA,NA,"Bowern2012",NA,NA,NA,NA
"4","Gamil-1_one-1",NA,"Gamil","1_one","ma:l, maal, mal, mago; yaman","mago",NA,NA,"Bowern2012",NA,NA,NA,NA
"5","Gamil-1_one-1",NA,"Gamil","1_one","ma:l, maal, mal, mago; yaman","yaman",NA,NA,"Bowern2012",NA,NA,NA,NA
"6","Gamil-2_two-1",NA,"Gamil","2_two","bala, bula, bula:rr, bulaarr, bular, bulara, pula:rr; gabu","bala",NA,NA,"Bowern2012",NA,NA,NA,NA
"7","Gamil-2_two-1",NA,"Gamil","2_two","bala, bula, bula:rr, bulaarr, bular, bulara, pula:rr; gabu","bula",NA,NA,"Bowern2012",NA,NA,NA,NA
"8","Gamil-2_two-1",NA,"Gamil","2_two","bala, bula, bula:rr, bulaarr, bular, bulara, pula:rr; gabu","bula:rr",NA,NA,"Bowern2012",NA,NA,NA,NA
"9","Gamil-2_two-1",NA,"Gamil","2_two","bala, bula, bula:rr, bulaarr, bular, bulara, pula:rr; gabu","bulaarr",NA,NA,"Bowern2012",NA,NA,NA,NA
"10","Gamil-2_two-1",NA,"Gamil","2_two","bala, bula, bula:rr, bulaarr, bular, bulara, pula:rr; gabu","bular",NA,NA,"Bowern2012",NA,NA,NA,NA
"11","Gamil-2_two-1",NA,"Gamil","2_two","bala, bula, bula:rr, bulaarr, bular, bulara, pula:rr; gabu","bulara",NA,NA,"Bowern2012",NA,NA,NA,NA
"12","Gamil-2_two-1",NA,"Gamil","2_two","bala, bula, bula:rr, bulaarr, bular, bulara, pula:rr; gabu","pula:rr",NA,NA,"Bowern2012",NA,NA,NA,NA
"13","Gamil-2_two-1",NA,"Gamil","2_two","bala, bula, bula:rr, bulaarr, bular, bulara, pula:rr; gabu","gabu",NA,NA,"Bowern2012",NA,NA,NA,NA
"14","Gamil-3_three-1",NA,"Gamil","3_three","kulipa:, guliba, bulaba, culeba; buragulam","kulipa:",NA,NA,"Bowern2012",NA,NA,NA,NA
"15","Gamil-3_three-1",NA,"Gamil","3_three","kulipa:, guliba, bulaba, culeba; buragulam","guliba",NA,NA,"Bowern2012",NA,NA,NA,NA
"16","Gamil-3_three-1",NA,"Gamil","3_three","kulipa:, guliba, bulaba, culeba; buragulam","bulaba",NA,NA,"Bowern2012",NA,NA,NA,NA
"17","Gamil-3_three-1",NA,"Gamil","3_three","kulipa:, guliba, bulaba, culeba; buragulam","culeba",NA,NA,"Bowern2012",NA,NA,NA,NA
"18","Gamil-3_three-1",NA,"Gamil","3_three","kulipa:, guliba, bulaba, culeba; buragulam","buragulam",NA,NA,"Bowern2012",NA,NA,NA,NA
"19","Gamil-4_four-1",NA,"Gamil","4_four","bula-bula, bular-bular, bulira-bulira; burûl; gabu-gabu; mulambu","bula-bula",NA,NA,"Bowern2012",NA,NA,NA,NA
"20","Gamil-4_four-1",NA,"Gamil","4_four","bula-bula, bular-bular, bulira-bulira; burûl; gabu-gabu; mulambu","bular-bular",NA,NA,"Bowern2012",NA,NA,NA,NA
"21","Gamil-4_four-1",NA,"Gamil","4_four","bula-bula, bular-bular, bulira-bulira; burûl; gabu-gabu; mulambu","bulira-bulira",NA,NA,"Bowern2012",NA,NA,NA,NA
"22","Gamil-4_four-1",NA,"Gamil","4_four","bula-bula, bular-bular, bulira-bulira; burûl; gabu-gabu; mulambu","burûl",NA,NA,"Bowern2012",NA,NA,NA,NA
"23","Gamil-4_four-1",NA,"Gamil","4_four","bula-bula, bular-bular, bulira-bulira; burûl; gabu-gabu; mulambu","gabu-gabu",NA,NA,"Bowern2012",NA,NA,NA,NA
"24","Gamil-4_four-1",NA,"Gamil","4_four","bula-bula, bular-bular, bulira-bulira; burûl; gabu-gabu; mulambu","mulambu",NA,NA,"Bowern2012",NA,NA,NA,NA
