"","ID","Local_ID","Language_ID","Parameter_ID","Value","Form","Segments","Comment","Source","Cognacy","Loan","Graphemes","Profile"
"1","Wirang-1_one-1",NA,"Wirang","1_one","kuma, kumartu","kuma",NA,NA,"Bowern2012",NA,NA,NA,NA
"2","Wirang-1_one-1",NA,"Wirang","1_one","kuma, kumartu","kumartu",NA,NA,"Bowern2012",NA,NA,NA,NA
"3","Wirang-2_two-1",NA,"Wirang","2_two","kuthara, kutharra","kuthara",NA,NA,"Bowern2012",NA,NA,NA,NA
"4","Wirang-2_two-1",NA,"Wirang","2_two","kuthara, kutharra","kutharra",NA,NA,"Bowern2012",NA,NA,NA,NA
"5","Wirang-3_three-1",NA,"Wirang","3_three","kulparri; yalkarta, yarrkarta","kulparri",NA,NA,"Bowern2012",NA,NA,NA,NA
"6","Wirang-3_three-1",NA,"Wirang","3_three","kulparri; yalkarta, yarrkarta","yalkarta",NA,NA,"Bowern2012",NA,NA,NA,NA
"7","Wirang-3_three-1",NA,"Wirang","3_three","kulparri; yalkarta, yarrkarta","yarrkarta",NA,NA,"Bowern2012",NA,NA,NA,NA
"8","Wirang-4_four-1",NA,"Wirang","4_four","kapu","kapu",NA,NA,"Bowern2012",NA,NA,NA,NA
"9","Wirang-5_five-1",NA,"Wirang","5_five","wima, wimaardu","wima",NA,NA,"Bowern2012",NA,NA,NA,NA
"10","Wirang-5_five-1",NA,"Wirang","5_five","wima, wimaardu","wimaardu",NA,NA,"Bowern2012",NA,NA,NA,NA
