"","ID","Local_ID","Language_ID","Parameter_ID","Value","Form","Segments","Comment","Source","Cognacy","Loan","Graphemes","Profile"
"1","Kamil-1_one-1",NA,"Kamil","1_one","mal","mal",NA,NA,"Bowern2012",NA,NA,NA,NA
"2","Kamil-2_two-1",NA,"Kamil","2_two","bularu, parrkula, parrkulu","bularu",NA,NA,"Bowern2012",NA,NA,NA,NA
"3","Kamil-2_two-1",NA,"Kamil","2_two","bularu, parrkula, parrkulu","parrkula",NA,NA,"Bowern2012",NA,NA,NA,NA
"4","Kamil-2_two-1",NA,"Kamil","2_two","bularu, parrkula, parrkulu","parrkulu",NA,NA,"Bowern2012",NA,NA,NA,NA
"5","Kamil-3_three-1",NA,"Kamil","3_three","guliba","guliba",NA,NA,"Bowern2012",NA,NA,NA,NA
"6","Kamil-4_four-1",NA,"Kamil","4_four","balar-balar, bular-bular, bular-bularu","balar-balar",NA,NA,"Bowern2012",NA,NA,NA,NA
"7","Kamil-4_four-1",NA,"Kamil","4_four","balar-balar, bular-bular, bular-bularu","bular-bular",NA,NA,"Bowern2012",NA,NA,NA,NA
"8","Kamil-4_four-1",NA,"Kamil","4_four","balar-balar, bular-bular, bular-bularu","bular-bularu",NA,NA,"Bowern2012",NA,NA,NA,NA
"9","Kamil-5_five-1",NA,"Kamil","5_five","bular-guliba; malanbu","bular-guliba",NA,NA,"Bowern2012",NA,NA,NA,NA
"10","Kamil-5_five-1",NA,"Kamil","5_five","bular-guliba; malanbu","malanbu",NA,NA,"Bowern2012",NA,NA,NA,NA
"11","Kamil-6_six-1",NA,"Kamil","6_six","guliba-guliba; mal-malanbu mammi","guliba-guliba",NA,NA,"Bowern2012",NA,NA,NA,NA
"12","Kamil-6_six-1",NA,"Kamil","6_six","guliba-guliba; mal-malanbu mammi","mal-malanbu mammi",NA,NA,"Bowern2012",NA,NA,NA,NA
"13","Kamil-7_seven-1",NA,"Kamil","7_seven","balar-malanbu mammi","balar-malanbu mammi",NA,NA,"Bowern2012",NA,NA,NA,NA
"14","Kamil-8_eight-1",NA,"Kamil","8_eight","guliba-malanbu mammi","guliba-malanbu mammi",NA,NA,"Bowern2012",NA,NA,NA,NA
"15","Kamil-9_nine-1",NA,"Kamil","9_nine","balar-balar-malanbu mammi","balar-balar-malanbu mammi",NA,NA,"Bowern2012",NA,NA,NA,NA
"16","Kamil-10_ten-1",NA,"Kamil","10_ten","balar-ya marra","balar-ya marra",NA,NA,"Bowern2012",NA,NA,NA,NA
"17","Kamil-11_eleven-1",NA,"Kamil","11_eleven","mal dinna mammi","mal dinna mammi",NA,NA,"Bowern2012",NA,NA,NA,NA
"18","Kamil-12_twelve-1",NA,"Kamil","12_twelve","balar dinna mammi","balar dinna mammi",NA,NA,"Bowern2012",NA,NA,NA,NA
"19","Kamil-13_thirteen-1",NA,"Kamil","13_thirteen","guliba dinna mammi","guliba dinna mammi",NA,NA,"Bowern2012",NA,NA,NA,NA
"20","Kamil-14_fourteen-1",NA,"Kamil","14_fourteen","balar-balar dinna mammi","balar-balar dinna mammi",NA,NA,"Bowern2012",NA,NA,NA,NA
"21","Kamil-15_fifteen-1",NA,"Kamil","15_fifteen","malanbu dinna","malanbu dinna",NA,NA,"Bowern2012",NA,NA,NA,NA
"22","Kamil-16_sixteen-1",NA,"Kamil","16_sixteen","mal dinna malanbu","mal dinna malanbu",NA,NA,"Bowern2012",NA,NA,NA,NA
"23","Kamil-17_seventeen-1",NA,"Kamil","17_seventeen","balar dinna malanbu","balar dinna malanbu",NA,NA,"Bowern2012",NA,NA,NA,NA
"24","Kamil-18_eighteen-1",NA,"Kamil","18_eighteen","guliba dinna malanbu","guliba dinna malanbu",NA,NA,"Bowern2012",NA,NA,NA,NA
"25","Kamil-19_nineteen-1",NA,"Kamil","19_nineteen","balar-balar dinna malanbu","balar-balar dinna malanbu",NA,NA,"Bowern2012",NA,NA,NA,NA
"26","Kamil-20_twenty-1",NA,"Kamil","20_twenty","balar-ya dinna","balar-ya dinna",NA,NA,"Bowern2012",NA,NA,NA,NA
