"","ID","Local_ID","Language_ID","Parameter_ID","Value","Form","Segments","Comment","Source","Cognacy","Loan","Graphemes","Profile"
"1","Wanggan-1_one-1",NA,"Wanggan","1_one","ŋuyu, windiŋuyu","ŋuyu",NA,NA,"Bowern2012",NA,NA,NA,NA
"2","Wanggan-1_one-1",NA,"Wanggan","1_one","ŋuyu, windiŋuyu","windiŋuyu",NA,NA,"Bowern2012",NA,NA,NA,NA
"3","Wanggan-2_two-1",NA,"Wanggan","2_two","parkulu","parkulu",NA,NA,"Bowern2012",NA,NA,NA,NA
"4","Wanggan-3_three-1",NA,"Wanggan","3_three","kulpari","kulpari",NA,NA,"Bowern2012",NA,NA,NA,NA
"5","Wanggan-10_ten-1",NA,"Wanggan","10_ten","marapratyanta","marapratyanta",NA,NA,"Bowern2012",NA,NA,NA,NA
