"","ID","Local_ID","Language_ID","Parameter_ID","Value","Form","Segments","Comment","Source","Cognacy","Loan","Graphemes","Profile"
"1","WangkuCoo-1_one-1",NA,"WangkuCoo","1_one","watchualie","watchualie",NA,NA,"Bowern2012",NA,NA,NA,NA
"2","WangkuCoo-2_two-1",NA,"WangkuCoo","2_two","barcoola","barcoola",NA,NA,"Bowern2012",NA,NA,NA,NA
"3","WangkuCoo-3_three-1",NA,"WangkuCoo","3_three","barcoola therwatchoo","barcoola therwatchoo",NA,NA,"Bowern2012",NA,NA,NA,NA
"4","WangkuCoo-4_four-1",NA,"WangkuCoo","4_four","barcoola tra barcoola","barcoola tra barcoola",NA,NA,"Bowern2012",NA,NA,NA,NA
