"","ID","Local_ID","Language_ID","Parameter_ID","Value","Form","Segments","Comment","Source","Cognacy","Loan","Graphemes","Profile"
"1","Yawarr-1_one-1",NA,"Yawarr","1_one","kulno, kurnu; tupuru","kulno",NA,NA,"Bowern2012",NA,NA,NA,NA
"2","Yawarr-1_one-1",NA,"Yawarr","1_one","kulno, kurnu; tupuru","kurnu",NA,NA,"Bowern2012",NA,NA,NA,NA
"3","Yawarr-1_one-1",NA,"Yawarr","1_one","kulno, kurnu; tupuru","tupuru",NA,NA,"Bowern2012",NA,NA,NA,NA
"4","Yawarr-2_two-1",NA,"Yawarr","2_two","parkutili, parrkulu","parkutili",NA,NA,"Bowern2012",NA,NA,NA,NA
"5","Yawarr-2_two-1",NA,"Yawarr","2_two","parkutili, parrkulu","parrkulu",NA,NA,"Bowern2012",NA,NA,NA,NA
"6","Yawarr-3_three-1",NA,"Yawarr","3_three","parkukulno","parkukulno",NA,NA,"Bowern2012",NA,NA,NA,NA
"7","Yawarr-10_ten-1",NA,"Yawarr","10_ten","marapanina","marapanina",NA,NA,"Bowern2012",NA,NA,NA,NA
