"","ID","Local_ID","Language_ID","Parameter_ID","Value","Form","Segments","Comment","Source","Cognacy","Loan","Graphemes","Profile"
"1","Wang-1_one-1",NA,"Wang","1_one","kupinyu; kutyu","kupinyu",NA,NA,"Bowern2012",NA,NA,NA,NA
"2","Wang-1_one-1",NA,"Wang","1_one","kupinyu; kutyu","kutyu",NA,NA,"Bowern2012",NA,NA,NA,NA
"3","Wang-2_two-1",NA,"Wang","2_two","kutyarra, lutyarra","kutyarra",NA,NA,"Bowern2012",NA,NA,NA,NA
"4","Wang-2_two-1",NA,"Wang","2_two","kutyarra, lutyarra","lutyarra",NA,NA,"Bowern2012",NA,NA,NA,NA
"5","Wang-3_three-1",NA,"Wang","3_three","marnkurrpa","marnkurrpa",NA,NA,"Bowern2012",NA,NA,NA,NA
