"","ID","Local_ID","Language_ID","Parameter_ID","Value","Form","Segments","Comment","Source","Cognacy","Loan","Graphemes","Profile"
"1","Adny-1_one-1",NA,"Adny","1_one","ubanaka, ubma, ubmanaka, ubmanhaka, ubm-ata, upma","ubanaka",NA,NA,"Bowern2012",NA,NA,NA,NA
"2","Adny-1_one-1",NA,"Adny","1_one","ubanaka, ubma, ubmanaka, ubmanhaka, ubm-ata, upma","ubma",NA,NA,"Bowern2012",NA,NA,NA,NA
"3","Adny-1_one-1",NA,"Adny","1_one","ubanaka, ubma, ubmanaka, ubmanhaka, ubm-ata, upma","ubmanaka",NA,NA,"Bowern2012",NA,NA,NA,NA
"4","Adny-1_one-1",NA,"Adny","1_one","ubanaka, ubma, ubmanaka, ubmanhaka, ubm-ata, upma","ubmanhaka",NA,NA,"Bowern2012",NA,NA,NA,NA
"5","Adny-1_one-1",NA,"Adny","1_one","ubanaka, ubma, ubmanaka, ubmanhaka, ubm-ata, upma","ubm-ata",NA,NA,"Bowern2012",NA,NA,NA,NA
"6","Adny-1_one-1",NA,"Adny","1_one","ubanaka, ubma, ubmanaka, ubmanhaka, ubm-ata, upma","upma",NA,NA,"Bowern2012",NA,NA,NA,NA
"7","Adny-2_two-1",NA,"Adny","2_two","alypilhanha, alypili; urlparrxaka, urlparrxinha","alypilhanha",NA,NA,"Bowern2012",NA,NA,NA,NA
"8","Adny-2_two-1",NA,"Adny","2_two","alypilhanha, alypili; urlparrxaka, urlparrxinha","alypili",NA,NA,"Bowern2012",NA,NA,NA,NA
"9","Adny-2_two-1",NA,"Adny","2_two","alypilhanha, alypili; urlparrxaka, urlparrxinha","urlparrxaka",NA,NA,"Bowern2012",NA,NA,NA,NA
"10","Adny-2_two-1",NA,"Adny","2_two","alypilhanha, alypili; urlparrxaka, urlparrxinha","urlparrxinha",NA,NA,"Bowern2012",NA,NA,NA,NA
"11","Adny-3_three-1",NA,"Adny","3_three","urlpa-rrina, urlparrxinha","urlpa-rrina",NA,NA,"Bowern2012",NA,NA,NA,NA
"12","Adny-3_three-1",NA,"Adny","3_three","urlpa-rrina, urlparrxinha","urlparrxinha",NA,NA,"Bowern2012",NA,NA,NA,NA
"13","Adny-6_six-1",NA,"Adny","6_six","urlpa-urlpa-rrina","urlpa-urlpa-rrina",NA,NA,"Bowern2012",NA,NA,NA,NA
