"","ID","Local_ID","Language_ID","Parameter_ID","Value","Form","Segments","Comment","Source","Cognacy","Loan","Graphemes","Profile"
"1","Pirri-1_one-1",NA,"Pirri","1_one","marinha; warba","marinha",NA,NA,"Bowern2012",NA,NA,NA,NA
"2","Pirri-1_one-1",NA,"Pirri","1_one","marinha; warba","warba",NA,NA,"Bowern2012",NA,NA,NA,NA
"3","Pirri-2_two-1",NA,"Pirri","2_two","bularu, parrkula, parrkulu","bularu",NA,NA,"Bowern2012",NA,NA,NA,NA
"4","Pirri-2_two-1",NA,"Pirri","2_two","bularu, parrkula, parrkulu","parrkula",NA,NA,"Bowern2012",NA,NA,NA,NA
"5","Pirri-2_two-1",NA,"Pirri","2_two","bularu, parrkula, parrkulu","parrkulu",NA,NA,"Bowern2012",NA,NA,NA,NA
"6","Pirri-3_three-1",NA,"Pirri","3_three","kur:bara; parrkula marinha","kur:bara",NA,NA,"Bowern2012",NA,NA,NA,NA
"7","Pirri-3_three-1",NA,"Pirri","3_three","kur:bara; parrkula marinha","parrkula marinha",NA,NA,"Bowern2012",NA,NA,NA,NA
"8","Pirri-4_four-1",NA,"Pirri","4_four","parrkula parrkula","parrkula parrkula",NA,NA,"Bowern2012",NA,NA,NA,NA
