"","ID","Local_ID","Language_ID","Parameter_ID","Value","Form","Segments","Comment","Source","Cognacy","Loan","Graphemes","Profile"
"1","Bogab-1_one-1",NA,"Bogab","1_one","mal","mal",NA,NA,"Bowern2012",NA,NA,NA,NA
"2","Bogab-2_two-1",NA,"Bogab","2_two","pulera","pulera",NA,NA,"Bowern2012",NA,NA,NA,NA
"3","Bogab-3_three-1",NA,"Bogab","3_three","koolipa","koolipa",NA,NA,"Bowern2012",NA,NA,NA,NA
"4","Bogab-4_four-1",NA,"Bogab","4_four","poolera poolera","poolera poolera",NA,NA,"Bowern2012",NA,NA,NA,NA
