"","ID","Local_ID","Language_ID","Parameter_ID","Value","Form","Segments","Comment","Source","Cognacy","Loan","Graphemes","Profile"
"1","WangkuTha-1_one-1",NA,"WangkuTha","1_one","tharranya","tharranya",NA,NA,"Bowern2012",NA,NA,NA,NA
"2","WangkuTha-2_two-1",NA,"WangkuTha","2_two","barcoola","barcoola",NA,NA,"Bowern2012",NA,NA,NA,NA
"3","WangkuTha-3_three-1",NA,"WangkuTha","3_three","barcoola go warra","barcoola go warra",NA,NA,"Bowern2012",NA,NA,NA,NA
"4","WangkuTha-4_four-1",NA,"WangkuTha","4_four","barcoola-barcoola","barcoola-barcoola",NA,NA,"Bowern2012",NA,NA,NA,NA
