"","ID","Local_ID","Language_ID","Parameter_ID","Value","Form","Segments","Comment","Source","Cognacy","Loan","Graphemes","Profile"
"1","Bang-1_one-1",NA,"Bang","1_one","kubmanna, kuma, gumana","kubmanna",NA,NA,"Bowern2012",NA,NA,NA,NA
"2","Bang-1_one-1",NA,"Bang","1_one","kubmanna, kuma, gumana","kuma",NA,NA,"Bowern2012",NA,NA,NA,NA
"3","Bang-1_one-1",NA,"Bang","1_one","kubmanna, kuma, gumana","gumana",NA,NA,"Bowern2012",NA,NA,NA,NA
"4","Bang-2_two-1",NA,"Bang","2_two","kalbelli, kallpille, gulbali; kuttara, gutjuru; kakiti; pututya","kalbelli",NA,NA,"Bowern2012",NA,NA,NA,NA
"5","Bang-2_two-1",NA,"Bang","2_two","kalbelli, kallpille, gulbali; kuttara, gutjuru; kakiti; pututya","kallpille",NA,NA,"Bowern2012",NA,NA,NA,NA
"6","Bang-2_two-1",NA,"Bang","2_two","kalbelli, kallpille, gulbali; kuttara, gutjuru; kakiti; pututya","gulbali",NA,NA,"Bowern2012",NA,NA,NA,NA
"7","Bang-2_two-1",NA,"Bang","2_two","kalbelli, kallpille, gulbali; kuttara, gutjuru; kakiti; pututya","kuttara",NA,NA,"Bowern2012",NA,NA,NA,NA
"8","Bang-2_two-1",NA,"Bang","2_two","kalbelli, kallpille, gulbali; kuttara, gutjuru; kakiti; pututya","gutjuru",NA,NA,"Bowern2012",NA,NA,NA,NA
"9","Bang-2_two-1",NA,"Bang","2_two","kalbelli, kallpille, gulbali; kuttara, gutjuru; kakiti; pututya","kakiti",NA,NA,"Bowern2012",NA,NA,NA,NA
"10","Bang-2_two-1",NA,"Bang","2_two","kalbelli, kallpille, gulbali; kuttara, gutjuru; kakiti; pututya","pututya",NA,NA,"Bowern2012",NA,NA,NA,NA
"11","Bang-3_three-1",NA,"Bang","3_three","kappa, kapo; kulparri, koolperrie, kulbarri","kappa",NA,NA,"Bowern2012",NA,NA,NA,NA
"12","Bang-3_three-1",NA,"Bang","3_three","kappa, kapo; kulparri, koolperrie, kulbarri","kapo",NA,NA,"Bowern2012",NA,NA,NA,NA
"13","Bang-3_three-1",NA,"Bang","3_three","kappa, kapo; kulparri, koolperrie, kulbarri","kulparri",NA,NA,"Bowern2012",NA,NA,NA,NA
"14","Bang-3_three-1",NA,"Bang","3_three","kappa, kapo; kulparri, koolperrie, kulbarri","koolperrie",NA,NA,"Bowern2012",NA,NA,NA,NA
"15","Bang-3_three-1",NA,"Bang","3_three","kappa, kapo; kulparri, koolperrie, kulbarri","kulbarri",NA,NA,"Bowern2012",NA,NA,NA,NA
"16","Bang-4_four-1",NA,"Bang","4_four","ngerla","ngerla",NA,NA,"Bowern2012",NA,NA,NA,NA
"17","Bang-1_one-2",NA,"Bang","1_one","goo-o-mana","goo-o-mana",NA,NA,"Bowern2012",NA,NA,NA,NA
"18","Bang-2_two-2",NA,"Bang","2_two","kilbelly","kilbelly",NA,NA,"Bowern2012",NA,NA,NA,NA
"19","Bang-3_three-2",NA,"Bang","3_three","koolberri","koolberri",NA,NA,"Bowern2012",NA,NA,NA,NA
"20","Bang-4_four-2",NA,"Bang","4_four","nulla","nulla",NA,NA,"Bowern2012",NA,NA,NA,NA
"21","Bang-7_seven-1",NA,"Bang","7_seven","merna","merna",NA,NA,"Bowern2012",NA,NA,NA,NA
"22","Bang-8_eight-1",NA,"Bang","8_eight","minnawutha","minnawutha",NA,NA,"Bowern2012",NA,NA,NA,NA
"23","Bang-9_nine-1",NA,"Bang","9_nine","koortillyi","koortillyi",NA,NA,"Bowern2012",NA,NA,NA,NA
"24","Bang-10_ten-1",NA,"Bang","10_ten","koorijuno","koorijuno",NA,NA,"Bowern2012",NA,NA,NA,NA
