"","ID","Local_ID","Language_ID","Parameter_ID","Value","Form","Segments","Comment","Source","Cognacy","Loan","Graphemes","Profile"
"1","Yany-1_one-1",NA,"Yany","1_one","arrkula, yalku (avoidance)","arrkula",NA,NA,"Bowern2012",NA,NA,NA,NA
"2","Yany-1_one-1",NA,"Yany","1_one","arrkula, yalku (avoidance)","yalku (avoidance)",NA,NA,"Bowern2012",NA,NA,NA,NA
"3","Yany-2_two-1",NA,"Yany","2_two","kanymarda, anyirarra (avoidance)","kanymarda",NA,NA,"Bowern2012",NA,NA,NA,NA
"4","Yany-2_two-1",NA,"Yany","2_two","kanymarda, anyirarra (avoidance)","anyirarra (avoidance)",NA,NA,"Bowern2012",NA,NA,NA,NA
"5","Yany-3_three-1",NA,"Yany","3_three","kanymardaarr","kanymardaarr",NA,NA,"Bowern2012",NA,NA,NA,NA
"6","Yany-4_four-1",NA,"Yany","4_four","kanymardakanymarda","kanymardakanymarda",NA,NA,"Bowern2012",NA,NA,NA,NA
